market,family,side,lookback,aux,tp,sl,max_hold,name,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
stock,breakout,1,20,0.0,0.022,0.012,5,stock_breakout_L_lb20_a0_tp0.022_sl0.012_h5,train,415,0.3409596389412286,0.000835660171876341,0.43373493975903615,0.018688755984982913,0.02056000000000002,-0.012839051514758481,1.1149415361274888,-0.153067657851384,0.3759036144578313,0.8666666666666667,-0.00047391304674356146,0.6666666666666666,415,-0.005334767721094424,0.00011566017187634082,0.42891566265060244,0.01817737162590856,0.01984000000000002,-0.01344967585689047,1.0150581551064337,-0.20520325823565744,0.3759036144578313,0.0,-0.0011939130467435615,0.5555555555555556
stock,breakout,1,20,0.0,0.022,0.012,5,stock_breakout_L_lb20_a0_tp0.022_sl0.012_h5,test,259,-0.19252098872224244,-0.0006949622684652765,0.38223938223938225,0.019602386693031378,0.02056000000000002,-0.013253946938391334,0.9151218744644598,-0.38044650153710047,0.3552123552123552,0.9292929292929293,-0.0023580717032227988,0.5,259,-0.33005774905085383,-0.0014149622684652772,0.38223938223938225,0.018882386693031383,0.01984000000000002,-0.013973946938391333,0.8360899621147524,-0.4536207693570924,0.3552123552123552,0.0,-0.003078071703222799,0.25
stock,breakout,1,55,0.0,0.022,0.012,5,stock_breakout_L_lb55_a0_tp0.022_sl0.012_h5,train,386,0.07368762341343915,0.000312368365422308,0.41968911917098445,0.018680719592903346,0.02056000000000002,-0.012971885647309516,1.041495711906201,-0.3013128750002988,0.3626943005181347,0.8641975308641975,-0.001093415036019665,0.5555555555555556,386,-0.18690333987719443,-0.00040763163457769203,0.4170984455958549,0.0180758227235306,0.01984000000000002,-0.01363357008637962,0.948706412855237,-0.37753316304156703,0.3626943005181347,0.0,-0.0018134150360196645,0.5555555555555556
stock,breakout,1,55,0.0,0.022,0.012,5,stock_breakout_L_lb55_a0_tp0.022_sl0.012_h5,test,239,-0.022445995621938608,3.741677026898193e-05,0.40585774058577406,0.019486826131878854,0.02056000000000002,-0.01324844737111241,1.0047534712239083,-0.3137086855805339,0.3723849372384937,0.9175257731958762,-0.001569182859162995,0.25,239,-0.17706889471582699,-0.0006825832297310183,0.40585774058577406,0.018766826131878855,0.01984000000000002,-0.013968447371112407,0.917753574033479,-0.3792660225352187,0.3723849372384937,0.0,-0.002289182859162995,0.25
stock,pullback,1,0,10.0,0.022,0.012,5,stock_pullback_L_lb0_a10_tp0.022_sl0.012_h5,train,162,-0.12473781594125322,-0.0006963408946434199,0.3950617283950617,0.018477821163225824,0.02056000000000002,-0.013218242646721296,0.9129162504633628,-0.1999505037135344,0.3395061728395062,0.859375,-0.002608266327635147,0.2222222222222222,162,-0.22121827912169878,-0.00141634089464342,0.3950617283950617,0.017757821163225825,0.01984000000000002,-0.013938242646721291,0.8320234284237427,-0.26600601738997465,0.3395061728395062,0.0,-0.0033282663276351467,0.1111111111111111
stock,pullback,1,0,10.0,0.022,0.012,5,stock_pullback_L_lb0_a10_tp0.022_sl0.012_h5,test,106,0.27187501112590384,0.0024086425361348604,0.4811320754716981,0.019477750992337364,0.02056000000000002,-0.013419076214162004,1.3459337286379385,-0.11598230189049952,0.4339622641509434,0.9019607843137255,-0.0003707554195240279,0.75,106,0.1785765094508942,0.001688642536134861,0.4811320754716981,0.01875775099233736,0.01984000000000002,-0.014139076214162011,1.2301759080091532,-0.1386889071670837,0.4339622641509434,0.0,-0.001090755419524028,0.75
stock,pullback,1,0,20.0,0.022,0.012,5,stock_pullback_L_lb0_a20_tp0.022_sl0.012_h5,train,357,0.2446888407166039,0.0007445001999028436,0.43977591036414565,0.018636876916588652,0.02056000000000002,-0.013301015522695516,1.099912134871132,-0.22043459293038115,0.3753501400560224,0.8535031847133758,-0.0007137062136970217,0.7777777777777778,357,-0.03740542037835559,2.4500199902843318e-05,0.43137254901960786,0.01827243649222016,0.01984000000000002,-0.013818761814958563,1.0031179753314219,-0.2546751494054532,0.3753501400560224,0.0,-0.0014337062136970215,0.3333333333333333
stock,pullback,1,0,20.0,0.022,0.012,5,stock_pullback_L_lb0_a20_tp0.022_sl0.012_h5,test,215,0.1949183638119587,0.0009651680910767715,0.4325581395348837,0.019769323731832027,0.02056000000000002,-0.013369147274416992,1.127226587101117,-0.20269396239101034,0.4,0.9354838709677419,-0.0007100911727823737,0.75,215,0.023603562088046592,0.0002451680910767716,0.4325581395348837,0.019049323731832036,0.01984000000000002,-0.01408914727441699,1.030666051872736,-0.2587634329721705,0.4,0.010752688172043012,-0.0014300911727823742,0.5
stock,trend_pullback,1,0,0.01,0.022,0.012,5,stock_trend_pullback_L_lb0_a0.01_tp0.022_sl0.012_h5,train,518,0.4750726267186278,0.0008853615941766767,0.4266409266409266,0.01972801009001804,0.02056000000000002,-0.013135599071079015,1.117555811834951,-0.22690871151436331,0.39575289575289574,0.9276018099547512,-0.00025360664853881783,0.6666666666666666,518,0.0159689726872303,0.00016536159417667633,0.4266409266409266,0.019008010090018033,0.01984000000000002,-0.013855599071079014,1.0208152989634018,-0.26294031999414014,0.39575289575289574,0.0,-0.0009736066485388182,0.5555555555555556
stock,trend_pullback,1,0,0.01,0.022,0.012,5,stock_trend_pullback_L_lb0_a0.01_tp0.022_sl0.012_h5,test,305,0.06611955931943125,0.000346060200421149,0.4131147540983607,0.019931018739114705,0.02056000000000002,-0.013440000000000013,1.0438731881519565,-0.3525430236118916,0.38688524590163936,0.9444444444444444,-0.0010362914587330168,0.5,305,-0.1441304318433133,-0.0003739397995788512,0.4131147540983607,0.019211018739114696,0.01984000000000002,-0.014160000000000008,0.9550028253039683,-0.4139933585237985,0.38688524590163936,0.007936507936507936,-0.001756291458733017,0.5
stock,trend_pullback,1,0,0.02,0.022,0.012,5,stock_trend_pullback_L_lb0_a0.02_tp0.022_sl0.012_h5,train,463,0.3581723768862195,0.0007973001644383134,0.4190064794816415,0.020093392979582278,0.02056000000000002,-0.013118841122319785,1.1046056378913898,-0.1665463268555506,0.4017278617710583,0.9587628865979382,-0.00041234447357082544,0.4444444444444444,463,-0.026799097281695494,7.730016443831318e-05,0.4190064794816415,0.01937339297958228,0.01984000000000002,-0.013838841122319786,1.0096141170524218,-0.21675416723958907,0.4017278617710583,0.0,-0.0011323444735708255,0.3333333333333333
stock,trend_pullback,1,0,0.02,0.022,0.012,5,stock_trend_pullback_L_lb0_a0.02_tp0.022_sl0.012_h5,test,290,0.09561884927209019,0.00045083378548704925,0.41724137931034483,0.01979133542382408,0.02056000000000002,-0.01339650762420988,1.0577478942254745,-0.2619459279609756,0.3931034482758621,0.9504132231404959,-0.001212630852229646,0.75,290,-0.11087579075886445,-0.0002691662145129507,0.41724137931034483,0.019071335423824082,0.01984000000000002,-0.014116507624209877,0.9672806571142204,-0.3068281785022168,0.3931034482758621,0.008264462809917356,-0.001932630852229646,0.5
stock,breakout,1,20,0.0,0.022,0.012,10,stock_breakout_L_lb20_a0_tp0.022_sl0.012_h10,train,385,0.32116551516417746,0.0008607964048049228,0.42857142857142855,0.01986430472285292,0.02056000000000002,-0.013391834833731077,1.112485983221234,-0.15583615610578616,0.4077922077922078,0.9515151515151515,-0.0004760052968603217,0.6666666666666666,385,0.0013781480187207151,0.00014079640480492274,0.42857142857142855,0.019144304722852924,0.01984000000000002,-0.014111834833731076,1.0174600759796077,-0.24142026062777888,0.4077922077922078,0.0,-0.0011960052968603221,0.4444444444444444
stock,breakout,1,20,0.0,0.022,0.012,10,stock_breakout_L_lb20_a0_tp0.022_sl0.012_h10,test,253,-0.25433266958678036,-0.0010265278237618022,0.36363636363636365,0.02056000000000002,0.02056000000000002,-0.013361686580197133,0.8792730886221779,-0.4043157560967843,0.36363636363636365,1.0,-0.002639176045105672,0.5,253,-0.3786973980133177,-0.001746527823761803,0.36363636363636365,0.019840000000000028,0.01984000000000002,-0.014081686580197131,0.8050983660640573,-0.4735494292258575,0.36363636363636365,0.0,-0.003359176045105672,0.25
stock,breakout,1,55,0.0,0.022,0.012,10,stock_breakout_L_lb55_a0_tp0.022_sl0.012_h10,train,364,0.2697720843446405,0.0007935640067544433,0.4258241758241758,0.019917554592770673,0.02056000000000002,-0.01338929982498008,1.1032236453876427,-0.27037807131632374,0.4065934065934066,0.9548387096774194,-0.0006388371207760275,0.6666666666666666,364,-0.022933704542131172,7.356400675444317e-05,0.4258241758241758,0.01919755459277068,0.01984000000000002,-0.01410929982498008,1.0090806097287488,-0.3207529946913018,0.4065934065934066,0.0,-0.0013588371207760277,0.5555555555555556
stock,breakout,1,55,0.0,0.022,0.012,10,stock_breakout_L_lb55_a0_tp0.022_sl0.012_h10,test,233,-0.08663371586565738,-0.00025283922494307473,0.38626609442060084,0.02056000000000002,0.02056000000000002,-0.013351828946935236,0.9691451404363859,-0.3410870058729837,0.38626609442060084,1.0,-0.0020580257510729527,0.25,233,-0.22781164078910587,-0.0009728392249430743,0.38626609442060084,0.019840000000000024,0.01984000000000002,-0.014071828946935231,0.8873553916694561,-0.40275752050676406,0.38626609442060084,0.0,-0.0027780257510729525,0.25
stock,pullback,1,0,10.0,0.022,0.012,10,stock_pullback_L_lb0_a10_tp0.022_sl0.012_h10,train,156,-0.08749053595644274,-0.0004551598361145898,0.391025641025641,0.019568734578528587,0.02056000000000002,-0.01331260782867496,0.9438562021746072,-0.19560121830545418,0.36538461538461536,0.9344262295081968,-0.002686968830707565,0.4444444444444444,156,-0.18453600087650324,-0.0011751598361145897,0.391025641025641,0.018848734578528602,0.01984000000000002,-0.014032607828674947,0.8624820008158279,-0.23747713864193742,0.36538461538461536,0.0,-0.0034069688307075655,0.2222222222222222
