market,family,side,lookback,aux,tp,sl,max_hold,name,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct,passes_strict
stock,breakout,1,20,0.0,0.03,0.012,20,stock_breakout_L_lb20_a0_tp0.030_sl0.012_h20,test,209,-0.16844927287162992,-0.0006986969625965632,0.3062200956937799,0.028168317731520596,0.028560000000000026,-0.013439999999999999,0.925067905797064,-0.3998138663167802,0.3014354066985646,0.984375,-0.0029092232783860437,0.25,209,-0.28477460244930675,-0.0014186969625965635,0.3062200956937799,0.027448317731520597,0.027840000000000028,-0.014159999999999996,0.8555875388745952,-0.4513034577913969,0.3014354066985646,0.984375,-0.003629223278386044,0.25,False
stock,pullback,1,0,20.0,0.03,0.012,20,stock_pullback_L_lb0_a20_tp0.030_sl0.012_h20,test,203,0.23010607380272186,0.0012186743809340418,0.3497536945812808,0.028471421117318478,0.028560000000000026,-0.013440000000000016,1.1394474315304888,-0.17407863716415184,0.3448275862068966,1.0,-0.0010571876880314769,0.75,203,0.06290766219180122,0.000498674380934042,0.3497536945812808,0.027751421117318497,0.027840000000000028,-0.014160000000000018,1.0541596576622212,-0.223241807201908,0.3448275862068966,1.0,-0.0017771876880314766,0.5,False
stock,trend_pullback,1,0,0.02,0.03,0.012,20,stock_trend_pullback_L_lb0_a0.02_tp0.030_sl0.012_h20,test,253,0.12099456015587196,0.0006458138313423367,0.3359683794466403,0.028486010580348393,0.028560000000000026,-0.013440000000000013,1.0723634581072896,-0.24762092094250632,0.33201581027667987,1.0,-0.0014005689205952927,0.75,253,-0.0657041414252455,-7.418616865766284e-05,0.3359683794466403,0.02776601058034838,0.027840000000000028,-0.014160000000000011,0.9921101103584924,-0.27932310830367735,0.33201581027667987,1.0,-0.002120568920595293,0.5,False
