name,family,lookback,side_n,rebalance,split,cagr,total_return,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,annual_turnover,stress_cagr,stress_total_return,stress_sharpe,stress_max_drawdown,stress_avg_month,stress_worst_month,stress_positive_month_pct,stress_month_ge_10_pct,stress_annual_turnover
conventional_reversal_lb30_n1_r1,conventional_reversal,30,1,1,train,-0.5604172936356353,-0.7033412600943818,-1.38477148279298,-0.814244845044002,-0.053454366583023584,-0.40361548940328196,0.3888888888888889,0.05555555555555555,159.6277777777778,-0.5877246666952582,-0.7301777191380802,-1.5110135929997228,-0.8284674609760617,-0.05850253924911272,-0.4055808943731555,0.3333333333333333,0.05555555555555555,159.6277777777778
conventional_reversal_lb30_n1_r1,conventional_reversal,30,1,1,test,-0.040388313559926114,-0.06294601622097129,0.01738294514044388,-0.34018431351176925,0.0010931650010942721,-0.16263316068195544,0.42105263157894735,0.15789473684210525,155.9921875,-0.09846557854644022,-0.15080580754953476,-0.18706122428710778,-0.36536019964478095,-0.00415698551888116,-0.16465518815609737,0.3684210526315789,0.15789473684210525,155.9921875
conventional_reversal_lb30_n1_r3,conventional_reversal,30,1,3,train,-0.49143487261899066,-0.6319971329767433,-1.1084930193350349,-0.7495719778546659,-0.04639481391146076,-0.24874341574650405,0.3333333333333333,0.05555555555555555,92.66527777777779,-0.5100293834136582,-0.6517146824382578,-1.1822827961992266,-0.7602236956135464,-0.04935209908801391,-0.25000418838117555,0.3333333333333333,0.05555555555555555,92.66527777777779
conventional_reversal_lb30_n1_r3,conventional_reversal,30,1,3,test,-0.18367315790024574,-0.2738782118540761,-0.5109918068855938,-0.4168672717759935,-0.01277611408738116,-0.16188855872040797,0.3157894736842105,0.05263157894736842,80.53255208333333,-0.20957813618120458,-0.3098820141633025,-0.6163605705701372,-0.4352819647105657,-0.015447618151217552,-0.16359041871452262,0.3157894736842105,0.05263157894736842,80.53255208333333
conventional_reversal_lb30_n1_r7,conventional_reversal,30,1,7,train,-0.28361338665350233,-0.3892769706693423,-0.37692898374293243,-0.5959779540984544,-0.020078545067417266,-0.21726206784472224,0.4444444444444444,0.16666666666666666,60.19861111111111,-0.300708746121071,-0.4107000482951334,-0.4226345418095292,-0.6070113767325265,-0.022070564738348137,-0.21756861648045933,0.4444444444444444,0.16666666666666666,60.19861111111111
conventional_reversal_lb30_n1_r7,conventional_reversal,30,1,7,test,-0.010325493933957097,-0.01623474760386623,0.11592619880452489,-0.345417923985576,0.002182684948802939,-0.1574316682337944,0.47368421052631576,0.10526315789473684,46.924479166666664,-0.028736377076673314,-0.04494008547770456,0.05370050525298122,-0.3522276559635992,0.0005956738860321115,-0.1581016476710594,0.42105263157894735,0.10526315789473684,46.924479166666664
conventional_reversal_lb30_n2_r1,conventional_reversal,30,2,1,train,-0.4039017922273028,-0.5346057628967563,-1.2292631869771082,-0.673947751844833,-0.03553531306112132,-0.24893829605497386,0.3888888888888889,0.05555555555555555,120.05902777777779,-0.4318932174415864,-0.5665494160339679,-1.3603648889795559,-0.6924358020247346,-0.03937919294659483,-0.25228644596982763,0.3333333333333333,0.05555555555555555,120.05902777777779
conventional_reversal_lb30_n2_r1,conventional_reversal,30,2,1,test,0.05799177634714625,0.09297096439303809,0.3682350343550371,-0.2229655270489146,0.0066166965451671085,-0.08797812730807941,0.3684210526315789,0.10526315789473684,127.13997395833333,0.005507290029103995,0.00869879624111558,0.13231169315227403,-0.25840446679667217,0.002343080448967051,-0.09108545556684433,0.3684210526315789,0.10526315789473684,127.13997395833333
conventional_reversal_lb30_n2_r3,conventional_reversal,30,2,3,train,-0.41825045309224385,-0.5510721933305733,-1.3369428123687441,-0.6497943603802456,-0.03766277986942119,-0.2965799049786425,0.4444444444444444,0.05555555555555555,65.60972222222223,-0.43334293896273746,-0.5681837184572074,-1.4104543275296249,-0.6625572888109559,-0.039763715376061486,-0.29816811375343055,0.4444444444444444,0.05555555555555555,65.60972222222223
conventional_reversal_lb30_n2_r3,conventional_reversal,30,2,3,test,0.10794507553732124,0.17545319976859108,0.5875572672494617,-0.19304221992347748,0.009655325271571646,-0.04407562664777109,0.47368421052631576,0.05263157894736842,70.06966145833333,0.07735189031347289,0.1246773966991761,0.456010549271769,-0.20492738281066758,0.007300499675137251,-0.046567813294991156,0.47368421052631576,0.05263157894736842,70.06966145833333
