symbol,entry_time,exit_time,entry_price,exit_price,gross_return,funding_cost,net_return,reason
FILUSDT,2024-01-23 08:00:00+00:00,2024-01-23 12:00:00+00:00,5.009,4.85873,0.030000000000000027,0.0,0.028400000000000026,target
TRXUSDT,2024-04-02 16:00:00+00:00,2024-04-03 08:00:00+00:00,0.11592,0.11800656,-0.018000000000000016,-0.0002,-0.019400000000000018,stop
BCHUSDT,2024-04-24 16:00:00+00:00,2024-04-25 16:00:00+00:00,479.51,478.21,0.002711100915517961,0.00045612,0.000654980915517961,time
BCHUSDT,2024-04-29 04:00:00+00:00,2024-04-29 20:00:00+00:00,459.4,467.6692,-0.018000000000000016,0.00025487999999999997,-0.019854880000000016,stop
TRXUSDT,2024-05-06 16:00:00+00:00,2024-05-07 16:00:00+00:00,0.11907,0.12121326,-0.018000000000000016,0.00019375000000000002,-0.019793750000000016,stop
DOTUSDT,2024-05-08 00:00:00+00:00,2024-05-08 08:00:00+00:00,6.988,7.113784000000001,-0.018000000000000016,-2.367e-05,-0.019576330000000017,stop
UNIUSDT,2024-05-10 20:00:00+00:00,2024-05-11 20:00:00+00:00,7.095,7.031,0.009020436927413722,-2.1040000000000002e-05,0.007441476927413722,time
AAVEUSDT,2024-05-12 00:00:00+00:00,2024-05-12 12:00:00+00:00,82.22,83.69996,-0.018000000000000016,9.118e-05,-0.019691180000000016,stop
XLMUSDT,2024-05-12 20:00:00+00:00,2024-05-13 00:00:00+00:00,0.10493,0.10178209999999999,0.030000000000000138,-1.829e-05,0.028418290000000138,target
XLMUSDT,2024-05-13 04:00:00+00:00,2024-05-13 08:00:00+00:00,0.10216,0.10399888,-0.018000000000000016,0.00011689,-0.019716890000000018,stop
TRXUSDT,2024-05-14 00:00:00+00:00,2024-05-15 00:00:00+00:00,0.12548,0.12548,-0.0,-0.00021999,-0.00138001,time
ATOMUSDT,2024-05-15 12:00:00+00:00,2024-05-15 16:00:00+00:00,8.032,8.176576,-0.018000000000000016,-0.0001,-0.019500000000000017,stop
