name,signal,tp,sl,hold,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
breakout20_tp0.022_sl0.012_h5,breakout20,0.022,0.012,5,train,415,0.3409596389412286,0.0008356601718763401,0.43373493975903615,0.01868875598498291,0.02056000000000002,-0.012839051514758478,1.114941536127489,-0.153067657851384,0.3759036144578313,0.8666666666666667,-0.0004927170576061673,0.6666666666666666,415,-0.0053347677210946465,0.00011566017187634002,0.42891566265060244,0.01817737162590856,0.01984000000000002,-0.01344967585689047,1.0150581551064337,-0.20520325823565777,0.3759036144578313,0.0,-0.0012127170576061673,0.5555555555555556
breakout20_tp0.022_sl0.012_h5,breakout20,0.022,0.012,5,test,259,-0.19252098872224244,-0.0006949622684652774,0.38223938223938225,0.019602386693031375,0.02056000000000002,-0.013253946938391334,0.9151218744644597,-0.38044650153710036,0.3552123552123552,0.9292929292929293,-0.0023389750081980834,0.5,259,-0.3300577490508534,-0.001414962268465278,0.38223938223938225,0.018882386693031383,0.01984000000000002,-0.013973946938391333,0.8360899621147523,-0.45362076935709206,0.3552123552123552,0.0,-0.003058975008198084,0.25
breakout20_tp0.022_sl0.012_h10,breakout20,0.022,0.012,10,train,385,0.32116551516417746,0.0008607964048049219,0.42857142857142855,0.019864304722852916,0.02056000000000002,-0.013391834833731077,1.112485983221234,-0.15583615610578616,0.4077922077922078,0.9515151515151515,-0.0005105692625825203,0.6666666666666666,385,0.001378148018720493,0.00014079640480492187,0.42857142857142855,0.019144304722852924,0.01984000000000002,-0.014111834833731076,1.0174600759796077,-0.24142026062777955,0.4077922077922078,0.0,-0.0012305692625825203,0.4444444444444444
breakout20_tp0.022_sl0.012_h10,breakout20,0.022,0.012,10,test,253,-0.25433266958678036,-0.0010265278237618022,0.36363636363636365,0.02056000000000002,0.02056000000000002,-0.013361686580197133,0.8792730886221779,-0.4043157560967843,0.36363636363636365,1.0,-0.002639176045105676,0.5,253,-0.3786973980133177,-0.001746527823761803,0.36363636363636365,0.019840000000000028,0.01984000000000002,-0.014081686580197131,0.8050983660640573,-0.4735494292258575,0.36363636363636365,0.0,-0.0033591760451056763,0.25
breakout20_tp0.022_sl0.012_h20,breakout20,0.022,0.012,20,train,376,0.42896878567165553,0.0010903105551461055,0.42819148936170215,0.020494141420713898,0.02056000000000002,-0.013440000000000014,1.1418731896231085,-0.15992230809232122,0.425531914893617,0.9937888198757764,-0.00032276385400381835,0.6666666666666666,376,0.09019297234810986,0.0003703105551461054,0.42819148936170215,0.019774141420713907,0.01984000000000002,-0.014160000000000011,1.0457353727285956,-0.2116219734448498,0.425531914893617,0.0,-0.0010427638540038183,0.4444444444444444
breakout20_tp0.022_sl0.012_h20,breakout20,0.022,0.012,20,test,252,-0.2785747149985275,-0.0011622222222222132,0.3611111111111111,0.02056000000000002,0.02056000000000002,-0.013440000000000002,0.8646480331262947,-0.40431575609678505,0.3611111111111111,1.0,-0.0027812698412698358,0.5,252,-0.3984774479503792,-0.001882222222222214,0.3611111111111111,0.019840000000000028,0.01984000000000002,-0.014159999999999997,0.7919430115450761,-0.4735494292258572,0.3611111111111111,0.0,-0.0035012698412698355,0.25
breakout20_tp0.022_sl0.018_h5,breakout20,0.022,0.018,5,train,381,-0.08839809421136269,-6.951246807290905e-05,0.48556430446194226,0.018414595808732937,0.02056000000000002,-0.01751624732118047,0.992285806216063,-0.2737857611558766,0.3989501312335958,0.8216216216216217,-0.0016528148743842335,0.5555555555555556,381,-0.30724924586050406,-0.0007895124680729077,0.48293963254593175,0.01779386472311781,0.01984000000000002,-0.018146575428372867,0.9158560173166006,-0.3814844407707243,0.3989501312335958,0.0,-0.0023728148743842334,0.5555555555555556
breakout20_tp0.022_sl0.018_h5,breakout20,0.022,0.018,5,test,241,-0.5697529939023871,-0.0033121933758584465,0.4066390041493776,0.019305489415796104,0.02056000000000002,-0.018812423540768567,0.7032765010398964,-0.6418677892451643,0.36929460580912865,0.9081632653061225,-0.005316323753113632,0.25,241,-0.638545319155492,-0.004032193375858446,0.4066390041493776,0.01858548941579611,0.01984000000000002,-0.01953242354076856,0.6520905510686338,-0.682239858463408,0.36929460580912865,0.0,-0.006036323753113631,0.25
breakout20_tp0.022_sl0.018_h10,breakout20,0.022,0.018,10,train,331,-0.31975726629415346,-0.000974461468183143,0.4652567975830816,0.019572679313343028,0.02056000000000002,-0.018851634803522296,0.9033347495421337,-0.4274736463662999,0.43202416918429004,0.9285714285714286,-0.002700108678933047,0.4444444444444444,331,-0.46422142380445075,-0.0016944614681831415,0.4652567975830816,0.018852679313343026,0.01984000000000002,-0.019571634803522295,0.8380953502556394,-0.5227132714817043,0.43202416918429004,0.0,-0.0034201086789330455,0.2222222222222222
breakout20_tp0.022_sl0.018_h10,breakout20,0.022,0.018,10,test,226,-0.5310981602415046,-0.0031544877463942004,0.40707964601769914,0.02038203658416449,0.02056000000000002,-0.01931389251065838,0.7245373789909092,-0.6485020394011078,0.4026548672566372,0.9891304347826086,-0.005278381551703941,0.25,226,-0.6017670868746177,-0.0038744877463941993,0.40707964601769914,0.0196620365841645,0.01984000000000002,-0.020033892510658378,0.6738235563754652,-0.686779638921655,0.4026548672566372,0.0,-0.00599838155170394,0.25
