candidate,family,profile,split,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
topmom_21_3_5_200,top_momentum,unlevered,train,2.2380121319344237,0.15837226430450646,0.788651191353494,-0.349481886672256,0.014195786621728565,-0.21363490927549345,0.4479166666666667,0.10416666666666667,0.010416666666666666,96
topmom_21_3_5_200,top_momentum,unlevered,test,1.9750944122640979,0.35838733175531146,1.2647365411025324,-0.20589060756309308,0.02837944656383297,-0.1409748571818904,0.627906976744186,0.18604651162790697,0.046511627906976744,43
topmom_21_3_5_200,top_momentum,base,train,2.0035457069238767,0.1475287363291733,0.7853638810803636,-0.35535228034369015,0.01300011324587604,-0.1401191160013847,0.4479166666666667,0.08333333333333333,0.020833333333333332,96
topmom_21_3_5_200,top_momentum,base,test,1.5543902349083787,0.30143305992968794,1.2933506276042468,-0.1663975111373307,0.023708036356361786,-0.1272096245942771,0.627906976744186,0.13953488372093023,0.023255813953488372,43
topmom_21_3_5_200,top_momentum,balanced,train,4.868158900226415,0.24783777361871762,0.8347150219431755,-0.511501962530446,0.022701111776567296,-0.23395819124066564,0.4375,0.17708333333333334,0.07291666666666667,96
topmom_21_3_5_200,top_momentum,balanced,test,3.6251817489843194,0.5376550822398083,1.3142751968959965,-0.27974147746044764,0.04129245324109135,-0.21375091339039454,0.6046511627906976,0.27906976744186046,0.046511627906976744,43
topmom_21_3_21_200,top_momentum,unlevered,train,1.4726345004032622,0.11993751839432787,0.6136472968236572,-0.4189572278629108,0.011265908524517804,-0.2060543461456743,0.4479166666666667,0.0625,0.020833333333333332,96
topmom_21_3_21_200,top_momentum,unlevered,test,3.1307103280175577,0.48957991125188016,1.5570375040655589,-0.2810756542906694,0.0373193126905574,-0.17439829193806988,0.6511627906976745,0.20930232558139536,0.046511627906976744,43
topmom_21_3_21_200,top_momentum,base,train,1.2267906046776393,0.10535830940402313,0.5919218413168181,-0.32178346565087235,0.009797864343914981,-0.16309055048935583,0.4270833333333333,0.0625,0.020833333333333332,96
topmom_21_3_21_200,top_momentum,base,test,2.272258737765701,0.39520964439329576,1.5943959426254624,-0.2139384177086412,0.03015895236099987,-0.09620961988993726,0.627906976744186,0.13953488372093023,0.0,43
topmom_21_3_21_200,top_momentum,balanced,train,2.155683709355929,0.15464541804129817,0.593287939665567,-0.49972178688590296,0.015972343545745053,-0.27400558953671883,0.4270833333333333,0.1875,0.0625,96
topmom_21_3_21_200,top_momentum,balanced,test,6.249831697122441,0.7446064635981398,1.6359324519804435,-0.3505260992555258,0.053960104286578915,-0.1670741552308851,0.627906976744186,0.3023255813953488,0.11627906976744186,43
topmom_21_3_63_200,top_momentum,unlevered,train,1.3281728968328932,0.11153325789242152,0.5190772481841417,-0.4159581258677191,0.011188982708329106,-0.20049592058093313,0.4895833333333333,0.0625,0.041666666666666664,96
topmom_21_3_63_200,top_momentum,unlevered,test,0.9703836863279165,0.20990162049496908,0.7439029224092134,-0.44445913011022964,0.02002858074785319,-0.16263515274041984,0.5116279069767442,0.20930232558139536,0.09302325581395349,43
topmom_21_3_63_200,top_momentum,base,train,1.3559812101577533,0.11318584649978591,0.6151966916216351,-0.38252697539782465,0.010659275072305028,-0.20773393376604932,0.4375,0.07291666666666667,0.020833333333333332,96
topmom_21_3_63_200,top_momentum,base,test,0.6766688988447447,0.15625981194227223,0.7348878340473528,-0.3580351391153094,0.014236532781134686,-0.12805676318777337,0.5116279069767442,0.06976744186046512,0.023255813953488372,43
topmom_21_3_63_200,top_momentum,balanced,train,2.5286319410332148,0.17089720710810874,0.6291146235076668,-0.5416970975853208,0.017697741015152552,-0.2954520775484689,0.4479166666666667,0.1875,0.052083333333333336,96
topmom_21_3_63_200,top_momentum,balanced,test,1.2165780151761405,0.25059003138884983,0.7565545419031313,-0.5518127665336144,0.025118432678168642,-0.21607404216738257,0.4883720930232558,0.20930232558139536,0.13953488372093023,43
topmom_21_5_5_200,top_momentum,unlevered,train,2.4724607107956516,0.16854859472373573,0.9538492100097276,-0.28758744438167183,0.014365961619726295,-0.15999724063228382,0.46875,0.041666666666666664,0.020833333333333332,96
topmom_21_5_5_200,top_momentum,unlevered,test,1.7463133393622368,0.32819210327532766,1.3524257117214638,-0.23171428960044538,0.025866196943972755,-0.10383966685169754,0.627906976744186,0.16279069767441862,0.023255813953488372,43
topmom_21_5_5_200,top_momentum,base,train,2.4619139258297102,0.16810391397695734,0.8998006233493618,-0.3384774156672271,0.01445427883513449,-0.14539265827772174,0.4583333333333333,0.052083333333333336,0.020833333333333332,96
topmom_21_5_5_200,top_momentum,base,test,1.876924509236766,0.34564262741244045,1.445327208389899,-0.19805401778406873,0.02693845313707076,-0.1029369639626383,0.6511627906976745,0.13953488372093023,0.023255813953488372,43
