family,profile,year,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
dual_ema,unlevered,2023,0.23129911140722825,0.23335038744822367,1.8810294490160635,-0.07161440924631735,0.018060969454790864,-0.04927359188426639,0.6666666666666666,0.0,0.0,12
dual_ema,unlevered,2024,0.2159052454935626,0.2159052454935626,1.537781172817429,-0.09631259158669492,0.016866254762855065,-0.035957452384605015,0.5833333333333334,0.0,0.0,12
dual_ema,unlevered,2025,0.22214022532333288,0.2241031258402848,1.8807558739455632,-0.062162033163536634,0.017451663003388063,-0.03470673565099658,0.5833333333333334,0.08333333333333333,0.0,12
dual_ema,unlevered,2026,0.03321653669078173,0.05843351916536621,0.5326488559634215,-0.06541565731584476,0.005522479840766608,-0.05248190285325749,0.5714285714285714,0.0,0.0,7
inverse_vol,unlevered,2023,0.2932677379532056,0.2959312164156649,2.191014288192357,-0.08509076518799596,0.02244023733930786,-0.04709030191121244,0.6666666666666666,0.0,0.0,12
inverse_vol,unlevered,2024,0.25183496543984063,0.25183496543984063,1.7467129969051352,-0.08445468989543803,0.019301229125792463,-0.03830471864090079,0.75,0.0,0.0,12
inverse_vol,unlevered,2025,0.24731158608246906,0.2495186886312104,1.983546263239457,-0.08944956457647679,0.019174106905919048,-0.054561894765971175,0.75,0.0,0.0,12
inverse_vol,unlevered,2026,0.05646299831032331,0.10016319626002868,0.7981161392335085,-0.06855822123635702,0.008614172221076506,-0.03806063028877538,0.5714285714285714,0.0,0.0,7
top_momentum,unlevered,2023,0.4463131942464773,0.4505892241395213,1.5800112958078583,-0.1330537841006424,0.033223775860541836,-0.08045415000202516,0.6666666666666666,0.08333333333333333,0.0,12
top_momentum,unlevered,2024,0.49396464979219656,0.49396464979219656,1.3913850614383616,-0.15755303644838703,0.03708811960254197,-0.10009582062373534,0.6666666666666666,0.25,0.08333333333333333,12
top_momentum,unlevered,2025,-0.04449130859059269,-0.044839137718436395,-0.016729511341167375,-0.19339275823943491,-0.0013772914764233108,-0.09803500877931803,0.4166666666666667,0.08333333333333333,0.0,12
top_momentum,unlevered,2026,0.4222474441736874,0.8444219480276476,1.6266445426729934,-0.20195315337403863,0.06141939963185794,-0.18785234632208647,0.5714285714285714,0.5714285714285714,0.14285714285714285,7
dual_ema,base,2023,0.34902875343807294,0.35226365643324264,1.8633767913298347,-0.1033315892627833,0.02645673464852058,-0.0719791817454376,0.6666666666666666,0.08333333333333333,0.0,12
dual_ema,base,2024,0.302411733950394,0.302411733950394,1.463753593938767,-0.1409798856122425,0.023256496295416384,-0.05379643642990706,0.5833333333333334,0.0,0.0,12
dual_ema,base,2025,0.33913108657022306,0.3422631784636918,1.8745126566000905,-0.09210612293152598,0.025989949708175402,-0.05174742373939112,0.5833333333333334,0.08333333333333333,0.0,12
dual_ema,base,2026,0.04385285028187558,0.07744171409343092,0.5046243947364324,-0.09711471972765107,0.008016160765187028,-0.07748246686451021,0.5714285714285714,0.0,0.0,7
inverse_vol,base,2023,0.45116822793628364,0.4554976326868416,2.1583373785414524,-0.1255465155841894,0.033243587997056005,-0.07021709452098834,0.6666666666666666,0.16666666666666666,0.0,12
inverse_vol,base,2024,0.35330219860143997,0.35330219860143997,1.6612101723830899,-0.1250615122339901,0.02637442467082667,-0.05747574075894046,0.75,0.0,0.0,12
inverse_vol,base,2025,0.3897841544136067,0.3934485392101412,2.0148209962368187,-0.12939811852089422,0.029114194447887404,-0.07853384997032253,0.75,0.08333333333333333,0.0,12
