family,profile,annual_funding_drag,avg_gross_exposure,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
dual_ema,unlevered,0.0,0.6835064249251891,0.8904956621709665,0.1959146677669561,1.5530421817338158,-0.09631259158669514,0.0155163722218087,-0.05248190285325749,0.6046511627906976,0.023255813953488372,0.0,43
dual_ema,unlevered,0.05,0.6835064249251891,0.6741010423169886,0.15576204476533873,1.2682131977261788,-0.09879618038045479,0.012641523614964963,-0.054830300035462964,0.5813953488372093,0.023255813953488372,0.0,43
dual_ema,unlevered,0.1,0.6835064249251891,0.4824481022794549,0.11695165034583277,0.9832113910686958,-0.10127332336704187,0.009775265719960917,-0.057173155215479166,0.5581395348837209,0.0,0.0,43
dual_ema,unlevered,0.2,0.6835064249251891,0.16238688619941954,0.043180341920010745,0.4128423050758513,-0.11026679741531709,0.004068420506049159,-0.06311122294961113,0.5348837209302325,0.0,0.0,43
dual_ema,unlevered,0.4,0.6835064249251891,-0.2855115782463705,-0.09012459055098276,-0.7282831483138684,-0.3150727371985208,-0.007243294426379757,-0.07675742062452173,0.4418604651162791,0.0,0.0,43
inverse_vol,unlevered,0.0,0.9063545150501672,1.133363050350904,0.2372181702369014,1.7681013941402592,-0.08944956457647668,0.018402001999994606,-0.054561894765971175,0.6976744186046512,0.0,0.0,43
inverse_vol,unlevered,0.05,0.9063545150501672,0.8157877091271597,0.18244465620334016,1.4054725290669834,-0.0938122547311584,0.01458144572015778,-0.05607211369405174,0.6976744186046512,0.0,0.0,43
inverse_vol,unlevered,0.1,0.9063545150501672,0.5454376697287764,0.13008590046339386,1.0426095107267068,-0.09831432219006697,0.010775466457887486,-0.057580221430857614,0.6511627906976745,0.0,0.0,43
inverse_vol,unlevered,0.2,0.9063545150501672,0.11939321772839095,0.03219325789300265,0.31641599432787365,-0.11857342121670067,0.0032070234924501313,-0.06213873141204962,0.5813953488372093,0.0,0.0,43
inverse_vol,unlevered,0.4,0.9063545150501672,-0.4129457903737703,-0.13897992870459608,-1.1361907460548946,-0.44545289794482934,-0.011757297975113854,-0.07696121914467757,0.3023255813953488,0.0,0.0,43
top_momentum,unlevered,0.0,0.9141583054626533,1.9363814596395836,0.3533981477430128,1.1068943682355825,-0.2019531533740384,0.029236070820068176,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
