profile,excluded,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
unlevered,AAPL,2.099833814950755,0.3741523074699471,1.1501662402275243,-0.23757329226866974,0.03053961017182674,-0.18813464858156992,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,MSFT,1.9363814596395836,0.3533981477430128,1.1068943682355825,-0.2019531533740384,0.029236070820068176,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,NVDA,1.3570843029819009,0.2723709496320992,0.9567452172528195,-0.20195315337403896,0.02374237521629037,-0.18785234632208647,0.5581395348837209,0.16279069767441862,0.023255813953488372,43
unlevered,AMZN,1.9898894041409845,0.36028172756305343,1.1222397273043436,-0.2019531533740384,0.029632021514993057,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,META,1.8320603364840289,0.3397139329986689,1.0654246864754768,-0.2551786123543115,0.028519073038801298,-0.18785234632208647,0.627906976744186,0.20930232558139536,0.06976744186046512,43
unlevered,GOOGL,1.8489614852722638,0.341955254965018,1.0761997396228378,-0.21729755270279294,0.028785610838794298,-0.18785234632208647,0.6046511627906976,0.20930232558139536,0.06976744186046512,43
unlevered,TSLA,2.320955053907615,0.40101175329827154,1.252250446843261,-0.20195315337403852,0.03139703991929774,-0.18785234632208647,0.5581395348837209,0.18604651162790697,0.023255813953488372,43
unlevered,INTC,1.6691005178653815,0.31759352454539336,1.1144092216933432,-0.19354895166526143,0.02597371953454706,-0.10009582062373534,0.6046511627906976,0.18604651162790697,0.023255813953488372,43
unlevered,ORCL,2.1509186452970814,0.38047700591326183,1.1975464828470395,-0.20195315337403863,0.030644736426472394,-0.18785234632208647,0.5813953488372093,0.18604651162790697,0.023255813953488372,43
unlevered,IBM,2.1339305390149637,0.37838198344839347,1.1602230286235542,-0.23115338367545202,0.030928334739544268,-0.18785234632208647,0.6046511627906976,0.20930232558139536,0.06976744186046512,43
unlevered,CSCO,1.3976244640086772,0.2784812792785776,0.9282110870660908,-0.25853137019315653,0.024292749863207657,-0.2012652546748026,0.5813953488372093,0.20930232558139536,0.09302325581395349,43
unlevered,PEP,1.9363814596395836,0.3533981477430128,1.1068943682355825,-0.2019531533740384,0.029236070820068176,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,MCD,1.9363814596395836,0.3533981477430128,1.1068943682355825,-0.2019531533740384,0.029236070820068176,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,GE,1.4202468783733515,0.28185875658397364,0.9218988118946699,-0.22472851415928663,0.025296278358904967,-0.18785234632208647,0.5581395348837209,0.20930232558139536,0.046511627906976744,43
unlevered,MA,1.9363814596395836,0.3533981477430128,1.1068943682355825,-0.2019531533740384,0.029236070820068176,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,BABA,2.1926708674371795,0.3855917200111558,1.1750541895296187,-0.23598126427090793,0.031210991597883427,-0.18785234632208647,0.6046511627906976,0.20930232558139536,0.06976744186046512,43
unlevered,LLY,1.870358203765727,0.3447790780823201,1.0729541962831861,-0.22413863205932405,0.028767764483978192,-0.18785234632208647,0.6046511627906976,0.20930232558139536,0.06976744186046512,43
unlevered,UNH,2.0449033446328477,0.36726730222446813,1.1384297898046578,-0.20195315337403852,0.030097448272414604,-0.18785234632208647,0.5813953488372093,0.20930232558139536,0.046511627906976744,43
unlevered,ASML,1.845689819545691,0.3415221353322826,1.1234587040263042,-0.19354895166526132,0.02829033880374833,-0.14853689590004437,0.5581395348837209,0.18604651162790697,0.046511627906976744,43
base,AAPL,1.467511950899266,0.28884273318785736,1.2144282944090006,-0.163467218810449,0.023103429483202723,-0.07644783065333882,0.5813953488372093,0.16279069767441862,0.0,43
base,MSFT,1.426321948117406,0.2827618825392799,1.1945966492239515,-0.1634672188104489,0.022678626328613317,-0.07697042615363248,0.5581395348837209,0.16279069767441862,0.0,43
base,NVDA,0.9944518283378558,0.21403544219772508,0.9698608258293516,-0.2032788037342771,0.018145517329373584,-0.11537891122369293,0.5581395348837209,0.13953488372093023,0.023255813953488372,43
base,AMZN,1.4292975193058886,0.28320364078597593,1.1964434971513422,-0.1618900973524795,0.02271500594372246,-0.07697042615363248,0.5581395348837209,0.16279069767441862,0.0,43
base,META,1.3934797264004444,0.27785999772886183,1.171160924838729,-0.16819900367930807,0.022494181682911583,-0.07697042615363248,0.6046511627906976,0.16279069767441862,0.0,43
base,GOOGL,1.3696423248008562,0.2742717556768244,1.1658530169046506,-0.16346721881044934,0.022221919593422266,-0.07739506398745977,0.5813953488372093,0.16279069767441862,0.0,43
base,TSLA,1.6499795824550803,0.31493490927113954,1.3083215748354098,-0.14118886537656006,0.024460674318341483,-0.07697042615363248,0.5581395348837209,0.13953488372093023,0.0,43
base,INTC,1.461298509865831,0.28793014569150044,1.2204622063085235,-0.16346721881044868,0.023186801288525606,-0.07602646831005744,0.5813953488372093,0.13953488372093023,0.0,43
base,ORCL,1.3373329241658705,0.26936655561750644,1.175602425008663,-0.16828695010214179,0.021658862862591475,-0.1088936495509254,0.5813953488372093,0.11627906976744186,0.023255813953488372,43
base,IBM,1.4983240948843517,0.29334395496461796,1.2351806174657005,-0.20484905176830304,0.0235152584678353,-0.08288592649649595,0.5813953488372093,0.18604651162790697,0.0,43
base,CSCO,1.1895476231894269,0.24628669115733226,1.0708149908361486,-0.1951954947054707,0.02021016129921587,-0.08528927758355931,0.5581395348837209,0.13953488372093023,0.0,43
base,PEP,1.3912770160200898,0.2775295043466226,1.1773121442223227,-0.16346721881044934,0.022363716360338626,-0.07697042615363248,0.5581395348837209,0.16279069767441862,0.0,43
base,MCD,1.3912770160200898,0.2775295043466226,1.1773121442223227,-0.16346721881044934,0.022363716360338626,-0.07697042615363248,0.5581395348837209,0.16279069767441862,0.0,43
base,GE,0.7774621486690692,0.17537927276540377,0.818794916764122,-0.22531728000213236,0.01568596165202032,-0.12540924849325863,0.5581395348837209,0.16279069767441862,0.023255813953488372,43
base,MA,1.3912770160200898,0.2775295043466226,1.1773121442223227,-0.16346721881044934,0.022363716360338626,-0.07697042615363248,0.5581395348837209,0.16279069767441862,0.0,43
base,BABA,1.5186039551262702,0.296284818507067,1.243358101164784,-0.18202536509917933,0.023568727664772738,-0.09621779899073668,0.627906976744186,0.13953488372093023,0.0,43
base,LLY,1.3501771795381807,0.27132236852559655,1.157510207763,-0.16346721881044812,0.021908478912923687,-0.07697042615363248,0.5813953488372093,0.16279069767441862,0.0,43
base,UNH,1.4388279133588249,0.28461592534390223,1.2014529493878048,-0.163467218810449,0.022823075229915127,-0.07697042615363248,0.5813953488372093,0.16279069767441862,0.0,43
base,ASML,1.3193299274473858,0.2666121639092187,1.148530447157175,-0.19105053012559048,0.02187690455146065,-0.10387785923951665,0.5348837209302325,0.13953488372093023,0.023255813953488372,43
balanced,AAPL,3.425638069496138,0.5187216276744393,1.2585061253485008,-0.25195176402223396,0.040769743701577876,-0.131811440932755,0.5813953488372093,0.27906976744186046,0.13953488372093023,43
balanced,MSFT,3.2723380757750737,0.5037545732672661,1.2340497249013451,-0.2518921948887525,0.03987942421931813,-0.13238919556632311,0.5581395348837209,0.27906976744186046,0.11627906976744186,43
balanced,NVDA,2.164758040946366,0.3821777249985838,1.0315809257197257,-0.26987473354089053,0.032781435603853146,-0.15411203619261027,0.5581395348837209,0.3023255813953488,0.13953488372093023,43
balanced,AMZN,3.3075841037015774,0.5072294998901972,1.2400725089932485,-0.2491140246520035,0.040064280368275064,-0.13238919556632311,0.5581395348837209,0.27906976744186046,0.11627906976744186,43
balanced,META,3.15754621575688,0.4922922960648295,1.207976773115006,-0.2792469729667617,0.03958627090645035,-0.13238919556632311,0.5813953488372093,0.32558139534883723,0.16279069767441862,43
balanced,GOOGL,3.12387930349398,0.4888874565122805,1.2085418410911193,-0.2518921948887535,0.039311503600915884,-0.13310518053977494,0.5813953488372093,0.27906976744186046,0.13953488372093023,43
balanced,TSLA,3.8873996314431576,0.5616621656491803,1.3390068687474155,-0.1904229774692653,0.04211572879580055,-0.13238919556632311,0.5581395348837209,0.2558139534883721,0.023255813953488372,43
balanced,INTC,3.414916765446068,0.5176871130914937,1.2654711321599184,-0.2518921948887536,0.04116399832379669,-0.12338504390399196,0.5813953488372093,0.27906976744186046,0.13953488372093023,43
balanced,ORCL,3.117816330509976,0.4882721672282184,1.2329488566396323,-0.2599918392705759,0.038507420996269845,-0.14365058309357348,0.5813953488372093,0.27906976744186046,0.11627906976744186,43
balanced,IBM,3.6932566786497905,0.543979789885884,1.303265049596838,-0.30527723157955844,0.042552514141250795,-0.1436076963699897,0.5813953488372093,0.27906976744186046,0.11627906976744186,43
balanced,CSCO,2.57186640000705,0.42997491557140033,1.1066572734400661,-0.30256663191953037,0.035466047137795775,-0.14608014724343943,0.5581395348837209,0.2558139534883721,0.11627906976744186,43
balanced,PEP,3.1904583251597627,0.49560168945934757,1.2203773247858503,-0.2518921948887535,0.03947082628916346,-0.13238919556632323,0.5581395348837209,0.27906976744186046,0.13953488372093023,43
balanced,MCD,3.1904583251597627,0.49560168945934757,1.2203773247858503,-0.2518921948887535,0.03947082628916346,-0.13238919556632323,0.5581395348837209,0.27906976744186046,0.13953488372093023,43
balanced,GE,1.6739761907625073,0.3182692560366398,0.8996347860814752,-0.31295426167828255,0.029570996450007204,-0.16464052354195358,0.5581395348837209,0.23255813953488372,0.18604651162790697,43
balanced,MA,3.1904583251597627,0.49560168945934757,1.2203773247858503,-0.2518921948887535,0.03947082628916346,-0.13238919556632323,0.5581395348837209,0.27906976744186046,0.13953488372093023,43
balanced,BABA,3.5903892690555868,0.5343967027329197,1.2862095890435183,-0.2994262193411763,0.04163257574065765,-0.16362795068372094,0.6046511627906976,0.27906976744186046,0.09302325581395349,43
balanced,LLY,3.0409302135770044,0.4804124217289252,1.1959830060982934,-0.2642348563407456,0.03850400286009904,-0.13238919556632311,0.5813953488372093,0.3023255813953488,0.11627906976744186,43
balanced,UNH,3.337346230698474,0.5101478794575736,1.2452515819063612,-0.2518921948887535,0.040275023330111834,-0.13238919556632323,0.5813953488372093,0.27906976744186046,0.13953488372093023,43
balanced,ASML,3.0941852865301493,0.485867779601735,1.2117273258696144,-0.2539407482058398,0.03952201163830795,-0.13700505356223358,0.5348837209302325,0.2558139534883721,0.13953488372093023,43
