candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,profit_factor,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,months
ema_24-168,ema,"[24, 168]",base,train,1.1566320220091275,0.46777580245648287,0.37379691724418795,1.212901949874051,-0.2664355531536251,1.0444819293526626,0.03761549311713035,0.02330216547338526,0.2934325714492574,-0.1379369873456826,0.6666666666666666,0.16666666666666666,24
ema_24-168,ema,"[24, 168]",base,test,-0.11426726901660234,-0.07388564568992573,0.3566271546763332,-0.03698024457525549,-0.29559410111762796,0.9987305293035235,-0.000874643946773846,0.007733727479837915,0.2057062469379336,-0.1927473940634079,0.5789473684210527,0.15789473684210525,19
ema_24-168,ema,"[24, 168]",base,full,0.9101995705803896,0.19794142179093455,0.36632459956677516,0.6757982827128005,-0.29559410111762774,1.0240841695445968,0.02060822325168431,0.01219225375513977,0.2934325714492574,-0.1927473940634079,0.627906976744186,0.16279069767441862,43
ema_24-168,ema,"[24, 168]",aggressive,train,2.5224249835273707,0.8751967413028778,0.7475851715908646,1.2125407710416523,-0.482555591455635,1.0444683944130693,0.07450108983674769,0.033754191898525576,0.6415329574578073,-0.26418365202350624,0.6666666666666666,0.2916666666666667,24
ema_24-168,ema,"[24, 168]",aggressive,test,-0.35740120777215667,-0.24402718392667466,0.7131856961683088,-0.03579862744177528,-0.5147188576718754,0.998771075078123,-0.0018467251223488878,0.004438773400543772,0.43326554959091945,-0.35234860507552535,0.5789473684210527,0.2631578947368421,19
ema_24-168,ema,"[24, 168]",aggressive,full,1.2635060401278557,0.25603727156056766,0.7326147543884565,0.6761250174113667,-0.5179398923009229,1.0240959325259598,0.04076600880830967,0.011898661649476283,0.6415329574578073,-0.35234860507552535,0.627906976744186,0.27906976744186046,43
ema_24-336,ema,"[24, 336]",base,train,0.9976884111827147,0.4127272287171748,0.3822333097560094,1.0945267335697433,-0.2737889620493207,1.0404862220906645,0.0345977394721173,0.009962783323416047,0.3094365506925827,-0.11681489200056572,0.5416666666666666,0.20833333333333334,24
ema_24-336,ema,"[24, 336]",base,test,-0.018865025542146197,-0.011975399547018317,0.35775536921227336,0.14508291797536002,-0.2766823110280635,1.0049409292293427,0.004239115724818674,0.031180881147854667,0.18373286847890213,-0.15195073740171172,0.5789473684210527,0.21052631578947367,19
ema_24-336,ema,"[24, 336]",base,full,0.9600019682805061,0.2065762134689737,0.3716333678014709,0.6907543302135676,-0.2766823110280645,1.024661742947345,0.021183463862845815,0.012718049802941778,0.3094365506925827,-0.15195073740171172,0.5581395348837209,0.20930232558139536,43
ema_24-336,ema,"[24, 336]",aggressive,train,1.9069370518289546,0.7037302180528195,0.7575003791215429,1.080616445324356,-0.4911794858030877,1.0397200677343679,0.0670526558540377,0.011532918366407019,0.6773294565686043,-0.22739060800221822,0.5416666666666666,0.3333333333333333,24
ema_24-336,ema,"[24, 336]",aggressive,test,-0.21317358468853953,-0.14071970484238716,0.7154271774776376,0.14536173325711546,-0.49214126336599506,1.0049504068287165,0.007730110139854205,0.052261756442026464,0.3821002858944793,-0.2885995696732211,0.5789473684210527,0.3684210526315789,19
ema_24-336,ema,"[24, 336]",aggressive,full,1.2872548600266502,0.2597009066726992,0.7392338986097265,0.6809039912316509,-0.4921412633659935,1.0242174765568415,0.04084036821288685,0.012169990719014034,0.6773294565686043,-0.2885995696732211,0.5581395348837209,0.3488372093023256,43
ema_24-504,ema,"[24, 504]",base,train,0.9369089567770736,0.3910995899475007,0.3842295364997472,1.050469285483621,-0.30379600544646723,1.0389112958331206,0.03461724899734419,-0.006082835866655201,0.4072547728335767,-0.1059631431392336,0.4583333333333333,0.25,24
ema_24-504,ema,"[24, 504]",base,test,0.2027250619427139,0.12385898663058281,0.3624116139161814,0.5032378484942511,-0.2158371846565138,1.01725210176511,0.014361735285773489,-0.00017994996975112532,0.16786087469846822,-0.1519710142593691,0.47368421052631576,0.3684210526315789,19
ema_24-504,ema,"[24, 504]",base,full,1.329568945017129,0.26616113121782914,0.3747575204783876,0.816593282607969,-0.30379600544646723,1.0292553822345647,0.025667138287580393,-0.00017994996975112532,0.4072547728335767,-0.1519710142593691,0.46511627906976744,0.3023255813953488,43
ema_24-504,ema,"[24, 504]",aggressive,train,1.721511950056105,0.6485712242711181,0.7562663984697138,1.0372801533967975,-0.5241360853514496,1.0380092112602657,0.06952599260786146,-0.020368809829877654,0.9345121630353252,-0.20711808099937168,0.4583333333333333,0.375,24
ema_24-504,ema,"[24, 504]",aggressive,test,0.18488722094542265,0.11328607680549463,0.723883361409821,0.5096319198269451,-0.39874042283755096,1.0174703797574831,0.026840007153149426,-0.017504724265728133,0.3456090419929796,-0.288808348567122,0.42105263157894735,0.3684210526315789,19
ema_24-504,ema,"[24, 504]",aggressive,full,2.2246847312717364,0.38641861540558686,0.742146991211257,0.8100142928763706,-0.5241360853514496,1.0288328319181275,0.050664743220895675,-0.017504724265728133,0.9345121630353252,-0.288808348567122,0.4418604651162791,0.37209302325581395,43
ema_48-168,ema,"[48, 168]",base,train,1.2492795760716957,0.49892852392396714,0.37368072088661475,1.269404426050466,-0.2420180603392761,1.046380740868248,0.038612770965872206,0.030269494594014623,0.2537344953214882,-0.11009456491095204,0.6666666666666666,0.16666666666666666,24
ema_48-168,ema,"[48, 168]",base,test,-0.12584817306103668,-0.08156402573019939,0.3560239815394559,-0.06099323646881624,-0.3062058806808885,0.9979197915681813,-0.0013939475505869072,-0.0009126640484449222,0.21379501377917043,-0.19883830723291862,0.47368421052631576,0.15789473684210525,19
ema_48-168,ema,"[48, 168]",base,full,0.9662118507195481,0.2076417574102547,0.3660004904558985,0.6981443512031431,-0.31719754192903515,1.0247582130200694,0.020935383714413527,0.023687269750187978,0.2537344953214882,-0.19883830723291862,0.5813953488372093,0.16279069767441862,43
ema_48-168,ema,"[48, 168]",aggressive,train,2.8249998800194778,0.9539668715898038,0.747289899749017,1.2679358385704314,-0.44018173643276215,1.0463251672340832,0.07474159174237853,0.04998412158782295,0.54545573078035,-0.21565165157849675,0.5833333333333334,0.2916666666666667,24
ema_48-168,ema,"[48, 168]",aggressive,test,-0.3744677523143818,-0.2567906507141555,0.7119435839136673,-0.060869816875407184,-0.5330093047776434,0.9979237224529549,-0.002502417746979989,-0.012385406226566587,0.45228832052046863,-0.3662528891498458,0.47368421052631576,0.2631578947368421,19
ema_48-168,ema,"[48, 168]",aggressive,full,1.3926607723457765,0.2756382476598336,0.7319153236571408,0.6973755198923534,-0.5637781367644964,1.0247318960941523,0.0406105177819643,0.03856481308016302,0.54545573078035,-0.3662528891498458,0.5348837209302325,0.27906976744186046,43
ema_48-336,ema,"[48, 336]",base,train,0.8691379961395149,0.3665794376392466,0.38332014469633474,1.0057944989425287,-0.2932680395807503,1.0370900504134763,0.03245349746309432,-0.0003757524957127001,0.3186186748212392,-0.12772327816026363,0.5,0.2916666666666667,24
ema_48-336,ema,"[48, 336]",base,test,0.11878915686078462,0.07358708973523176,0.35788996589200944,0.3772232086105191,-0.24655871276985486,1.0128754381465734,0.011030637406168872,0.008558850267660567,0.18270506407151843,-0.18653134760053647,0.5789473684210527,0.21052631578947367,19
ema_48-336,ema,"[48, 336]",base,full,1.091171322757393,0.2285854248158452,0.3723127992463746,0.7386841897717487,-0.2932680395807503,1.0263563407794452,0.022987582554220287,0.008558850267660567,0.3186186748212392,-0.18653134760053647,0.5348837209302325,0.2558139534883721,43
ema_48-336,ema,"[48, 336]",aggressive,train,1.5002794071630916,0.5802363586918813,0.7576106468226819,0.9813693223442536,-0.5192584111927172,1.0358675111907558,0.06292323435434873,-0.01020375036329585,0.7006516887200416,-0.24564620247161884,0.5,0.375,24
ema_48-336,ema,"[48, 336]",aggressive,test,0.022690960891741385,0.014294676734839529,0.7156205320856107,0.37726513867531086,-0.44255523013608855,1.0128780609720476,0.02101155352318142,0.0001046228250343173,0.38012928204664753,-0.3456752901012389,0.5263157894736842,0.3684210526315789,19
ema_48-336,ema,"[48, 336]",aggressive,full,1.5570131494094923,0.29950720979674617,0.7393741401686604,0.723060870331778,-0.5192584111927172,1.025662130012913,0.04440411956848411,0.0001046228250343173,0.7006516887200416,-0.3456752901012389,0.5116279069767442,0.37209302325581395,43
ema_48-504,ema,"[48, 504]",base,train,0.7846119468428212,0.3353645518536885,0.3851850176510705,0.9425846107717745,-0.33034008785687297,1.035002434144058,0.03055848356581596,-0.007024869170528192,0.32434195477019623,-0.13466761572151864,0.4583333333333333,0.2916666666666667,24
ema_48-504,ema,"[48, 504]",base,test,0.18748569324033504,0.11482987339369455,0.3627275421736488,0.4808587885466073,-0.2183370550875421,1.0164856688221984,0.013316754209740041,0.0003954229403451137,0.1640398322805512,-0.12039729827239465,0.5263157894736842,0.3157894736842105,19
ema_48-504,ema,"[48, 504]",base,full,1.1192011548616323,0.23315876953199433,0.37543937833965707,0.7453948179302267,-0.33034008785687297,1.0267436051772518,0.022940045013131256,-0.00033298706041506865,0.32434195477019623,-0.13466761572151864,0.4883720930232558,0.3023255813953488,43
ema_48-504,ema,"[48, 504]",aggressive,train,1.2900572565540918,0.5124361089994278,0.7569108516203563,0.9231701646801981,-0.5601243797017728,1.033855462277849,0.05908803555730086,-0.023939593062242026,0.713054639037785,-0.25917996921793696,0.4166666666666667,0.3333333333333333,24
ema_48-504,ema,"[48, 504]",aggressive,test,0.15389308490051223,0.09477492354484496,0.7249107455425459,0.48674122255537566,-0.4046287072970317,1.0166887458917906,0.024001045908757495,-0.006048212822288845,0.33662543715206117,-0.23110644774066935,0.47368421052631576,0.3684210526315789,19
ema_48-504,ema,"[48, 504]",aggressive,full,1.6424812323639917,0.31148480377481413,0.7429550639681946,0.7351240596144212,-0.5601243797017728,1.026180598828601,0.04358448199166541,-0.006261795907573586,0.713054639037785,-0.25917996921793696,0.4418604651162791,0.3488372093023256,43
ema_72-168,ema,"[72, 168]",base,train,1.0819079120326807,0.4421582937540549,0.3746797044588241,1.16390929024104,-0.24383605545029463,1.0425938961181118,0.036490766459328826,0.0013304150215860955,0.2402914010917605,-0.14802160912066942,0.5,0.25,24
ema_72-168,ema,"[72, 168]",base,test,-0.1190027707587411,-0.0770208970428774,0.3562684609119578,-0.046842365121987986,-0.29194281099952424,0.9984022466017891,-0.0010130457689017337,-0.006186828216562357,0.20283179364525972,-0.16596323571288996,0.47368421052631576,0.15789473684210525,19
ema_72-168,ema,"[72, 168]",base,full,0.8341551020362339,0.1844380638302363,0.3666739947879593,0.6445969612529641,-0.34387535783927414,1.022881708865179,0.019919314544529276,-0.003021235626531893,0.2402914010917605,-0.16596323571288996,0.4883720930232558,0.20930232558139536,43
ema_72-168,ema,"[72, 168]",aggressive,train,2.2308595993297575,0.7960179467501447,0.7481477908930022,1.1546399260904772,-0.4490884084661505,1.0421955590313599,0.07204138829413859,-0.007596017685806755,0.5080789095371712,-0.28117577461603627,0.4583333333333333,0.3333333333333333,24
ema_72-168,ema,"[72, 168]",aggressive,test,-0.3653439471169765,-0.24995158233145265,0.7124329498382483,-0.04742201563093921,-0.5135701781707271,0.9983823309562954,-0.001665587717115762,-0.022075719698151364,0.43154287358461274,-0.31316273398681616,0.47368421052631576,0.2631578947368421,19
ema_72-168,ema,"[72, 168]",aggressive,full,1.0504846007298716,0.22186768643643684,0.7326114438753886,0.6386333053405203,-0.5991226144690984,1.022652355377545,0.03947318959149131,-0.015149701388681658,0.5080789095371712,-0.31316273398681616,0.46511627906976744,0.3023255813953488,43
ema_72-336,ema,"[72, 336]",base,train,0.6855372502679424,0.29781888557938774,0.382898086436313,0.8715824434455475,-0.31034362992299,1.032092269309088,0.028540206579530922,0.0016742334519580515,0.33146065130349434,-0.14327869932934656,0.5,0.2916666666666667,24
ema_72-336,ema,"[72, 336]",base,test,0.16669178320468658,0.10244078088737774,0.3594814699690173,0.45089528686174773,-0.22225637473495674,1.015420392195216,0.012803114284841155,-0.025578920323513277,0.18393720919930612,-0.15633322375069947,0.47368421052631576,0.3157894736842105,19
ema_72-336,ema,"[72, 336]",base,full,0.9665024601730094,0.20769156316584136,0.37274491963750805,0.6921945210364832,-0.31034362992299,1.0246935966321742,0.02158660765862149,-0.00441515239450907,0.33146065130349434,-0.15633322375069947,0.4883720930232558,0.3023255813953488,43
ema_72-336,ema,"[72, 336]",aggressive,train,1.0214943600330453,0.42110834154865584,0.7560071963705072,0.8413613024458758,-0.5608994296725738,1.0306692344611468,0.05547978172258936,-0.007140193119244298,0.7343910760261194,-0.2716525787496368,0.5,0.375,24
