family,symbol,side,lookback,hold,threshold,aux,stop,target,key,fingerprint,robust_dev,neighbor_pass_ratio,neighbor_median_val_pf,valid_blocks,positive_blocks,positive_block_ratio,train_trades,train_pf,train_cagr,train_boot5,val_trades,val_pf,val_cagr,val_boot5,val_stress_pf,val_stress_cagr,holdout_gate,holdout_trades,holdout_pf,holdout_cagr,holdout_dd,holdout_boot5,stress_pf,stress_cagr
climax_reversal,SOLUSDT,long,6,9,0.015,2.0,0.0,0.018,5ae860a2a138,b5c44fea137ca778,True,0.9166666666666666,2.5133981846587585,5,4,0.8,38,2.5997730266786063,0.23041685663812794,0.0018071658569663784,45,3.642497113768884,0.8288942355299755,0.005514847743161945,3.1174152929470726,0.662964516225593,False,46.0,0.660935949810601,-0.20967562698002395,-0.32579095726056495,-0.016823618922697053,0.5783408051980112,-0.2524809078428707
compression_break,BTCUSDT,long,30,9,0.02,0.5,0.0,0.045,1a2bf855a42c,accc357505a7d305,False,0.8333333333333334,2.319814583615773,5,5,1.0,34,2.9323539130894485,0.2810962244128148,0.003921821873108731,24,2.548800153819619,0.3358336075187962,0.0016254621882495148,2.1687452282934503,0.2696911991965949,,,,,,,,
climax_reversal,SOLUSDT,long,6,1,0.006,1.40625,0.0,0.03,da7c1d8632a7,885e58c6ddf6dddc,True,0.9090909090909091,2.0977518441587373,5,5,1.0,100,2.397895214115543,0.6466714855944722,0.004103560407794736,68,2.500664601944695,1.2200051500286548,0.004584649218482888,2.1310722987132866,0.922443856600784,False,127.0,0.7933225436800198,-0.1889500024256784,-0.2737721275131352,-0.005128607807544802,0.6577439974162045,-0.3039396787895955
climax_reversal,SOLUSDT,long,3,9,0.015,1.5,0.0,0.018,7d29c8de0b9c,b652680339d60113,True,0.9090909090909091,2.719927012975297,5,5,1.0,75,2.437916043879574,0.49595971967458796,0.0034186640999786305,46,3.277663835754105,0.8243917348229537,0.004470243810662709,2.846773903949054,0.6553095759218717,False,59.0,0.5240074722711137,-0.3478382073083056,-0.48678083213812073,-0.017712071498822993,0.4544301536556584,-0.39290413959142245
climax_reversal,SOLUSDT,long,6,1,0.003,1.40625,0.0,0.03,0355b5f7fc16,5e9ab31fcb4a5418,True,0.9,2.036885019260712,5,5,1.0,104,2.307675641829577,0.6691351394306955,0.0039020932563598744,70,2.5102688390941004,1.234969651239782,0.004582455185111136,2.1293442826367865,0.9271784154809584,False,132.0,0.806323505123326,-0.18425157487795707,-0.27509187159860093,-0.004842854517906793,0.6685020445975746,-0.30409317546069925
climax_reversal,SOLUSDT,long,3,9,0.006,2.5,0.0,0.018,801325f366c6,7da7b676d13b4f99,True,0.9090909090909091,2.6603553477912767,5,4,0.8,35,2.4424754093445333,0.20431792857640385,0.0007284387340078762,28,4.147173702924154,0.4989618269045337,0.00459362654355794,3.5719428713038175,0.41289203407494646,False,31.0,0.541557337961536,-0.23030174255902536,-0.37055312094828863,-0.025894788516750512,0.4785519284850757,-0.25878320387396136
climax_reversal,SOLUSDT,long,3,9,0.01,2.5,0.0,0.018,98bcdc12bae2,e1a9bf70bcd7811a,True,0.9090909090909091,2.4558493730842534,5,4,0.8,35,2.4424754093445333,0.20431792857640385,0.0008344950133332583,26,3.815794713871166,0.43552638996682047,0.0037054320853700884,3.286450909667442,0.3587945084725741,False,30.0,0.5168066019936736,-0.23971085580852913,-0.3807916566013835,-0.02666742253007469,0.4566679126102406,-0.2669786597694698
climax_reversal,SOLUSDT,long,3,9,0.003,2.5,0.0,0.018,e4e376d7dc6d,538334350c2315ab,True,0.9,2.853951617955601,5,4,0.8,35,2.4424754093445333,0.20431792857640385,0.001200896472268866,30,4.480080656376444,0.5655100326482299,0.005483235801955533,3.858893996336663,0.46943437515131214,False,32.0,0.5661061747158969,-0.22085373029775024,-0.3602301921318405,-0.024351825691999902,0.5002383052720041,-0.25057082503944483
climax_reversal,SOLUSDT,long,6,1,0.003,1.7578125,0.0,0.03,e30ad610373a,061f7fdd5d3a5e15,True,0.9,2.131659888043431,5,5,1.0,77,2.3463982321245376,0.5247001623388325,0.003913472802239239,58,2.44336709175636,0.9770415034074069,0.0041628654680372435,2.0902331211920155,0.748666534590309,False,86.0,1.0133499490078868,-0.008562682108680497,-0.1653168799298942,-0.0039006442208439933,0.8476952774404747,-0.1058864380089587
climax_reversal,SOLUSDT,long,3,9,0.015,2.0,0.0,0.018,38f1611b5b57,bfb9a74a4831fb07,True,0.9090909090909091,2.399814278520316,5,5,1.0,48,2.368329816242762,0.27530922464122254,0.002064846510036568,37,2.560230849419963,0.5027232093841212,0.0011349590550076883,2.2236987435483515,0.38947085959018435,False,45.0,0.5397109683788296,-0.2862851987978473,-0.4114014841848316,-0.02005235228894,0.47147822225437924,-0.32424205549566165
climax_reversal,SOLUSDT,long,3,9,0.015,2.5,0.0,0.018,f993341796bf,fe87a56ba94bad80,False,0.8181818181818182,2.4558493730842534,5,4,0.8,34,2.360190989027481,0.19118202623830394,0.0005882079397726588,26,3.815794713871166,0.43552638996682047,0.0037007480084470116,3.286450909667442,0.3587945084725741,,,,,,,,
climax_reversal,SOLUSDT,long,3,9,0.01,1.5,0.0,0.018,bb7b8a1e57ac,63dbbace97b038c5,True,0.9090909090909091,2.3976272388896906,5,5,1.0,75,2.2801489410104065,0.4569675569582363,0.0030414296179151006,47,3.2203923841615443,0.8156359289764128,0.003914999043502464,2.7782884226948297,0.6438399051285169,False,64.0,0.5352281784865996,-0.3671073762375777,-0.49445256269222737,-0.017057769892681065,0.4656525688835592,-0.41440272130543165
climax_reversal,SOLUSDT,long,6,12,0.02,2.0,0.0,0.018,8402c6549a3f,4aea6d27467da18e,False,0.7272727272727273,2.1434578840765135,5,4,0.8,35,2.3466615572801808,0.20513540862392432,0.0007536321274447644,40,2.487067406353568,0.5619428951265637,0.0006674997924816573,2.185029436347377,0.43508212870180096,,,,,,,,
climax_reversal,SOLUSDT,long,6,1,0.01,1.40625,0.0,0.03,7ccf6e37442c,7a6960825fa6b12d,True,0.9090909090909091,2.0977518441587373,5,5,1.0,96,2.220008884260038,0.5812558280936269,0.0034269802330672196,68,2.500664601944695,1.2200051500286548,0.00475602706069278,2.1310722987132866,0.922443856600784,False,122.0,0.7506761033116388,-0.2186228919401113,-0.30898046991528527,-0.005687725771215045,0.6234338568809332,-0.3254065120024936
climax_reversal,SOLUSDT,long,6,9,0.015,1.125,0.0,0.018,cd5923d46f46,7d66994776502418,True,0.8333333333333334,2.4503830740052086,5,5,1.0,82,2.217076551050918,0.493564922007637,0.0029264875175913137,60,2.4781657991967885,0.87770453172873,0.0032156371693285706,2.1332721752071286,0.6535954175166712,False,73.0,0.5840945340754136,-0.36667981818548956,-0.5299843872025801,-0.015089722798176854,0.5096900262767349,-0.4203089524700334
climax_reversal,SOLUSDT,long,6,1,0.006,1.7578125,0.0,0.03,e7d50e24f322,5d1f5650cfda1712,True,0.9090909090909091,2.206697324802542,5,5,1.0,72,2.2264422588507915,0.4387284711201582,0.003312787845239183,57,2.4482636474257693,0.9789724128151878,0.00411256233625184,2.10250768531042,0.7541174037979679,False,84.0,0.9976234069876759,-0.01700735046611712,-0.17478272862680133,-0.00415065794297822,0.833461810802288,-0.1113817040267634
climax_reversal,SOLUSDT,long,6,9,0.02,1.5,0.0,0.018,df6e7d1b133d,ce17fbe2e548dc21,True,0.8333333333333334,3.0810007441429916,5,4,0.8,57,2.2091083558758213,0.32261340770163605,0.0019319442049129368,49,3.5500451482895508,0.9640808060612724,0.005833426922157041,3.081867140187204,0.7709006058645551,False,61.0,0.5644831066390515,-0.33605745319707236,-0.4576620457025413,-0.016722706239350106,0.4925405654767774,-0.3834052917482662
climax_reversal,SOLUSDT,long,3,9,0.02,2.5,0.0,0.018,f1459d3d5516,2c5dadaaeb589a53,False,0.9090909090909091,2.258471522223355,5,4,0.8,31,2.2367828508353824,0.16836299197687254,-0.000604289979463538,24,3.4834302845513694,0.3746001707295583,0.0026456521133175945,3.000017880053702,0.3066013639785081,,,,,,,,
climax_reversal,SOLUSDT,long,3,9,0.01,2.0,0.0,0.018,131c9a08983d,e931ca724bb3de0c,True,0.9090909090909091,2.466565519897554,5,5,1.0,49,2.1865120561845193,0.25563319156155395,0.0014992444845197102,38,2.6404391348697875,0.5356646517574424,0.001549714296848481,2.293404572524125,0.4169508333002876,False,46.0,0.5276331808878367,-0.29696355458677903,-0.42311398480617723,-0.02056283484765447,0.46039800495195565,-0.3351676747988439
climax_reversal,SOLUSDT,long,3,9,0.02,2.0,0.0,0.018,f4195ccf399d,227d9c189bd9b408,True,0.9090909090909091,2.0004250595780957,5,5,1.0,45,2.1910074570815015,0.2345029129644134,0.0011923434717562608,35,2.399814278520316,0.4389450410775284,0.0005290482880006417,2.0842870855968045,0.33609939474197503,False,44.0,0.5209083306076494,-0.2949113430615231,-0.42086760016514835,-0.02068503363488435,0.4549718321364758,-0.33162013101464194
