family,symbol,side,lookback,hold,threshold,aux,stop,target,key,train_trades,train_cagr,train_total_return,train_avg_trade,train_win_rate,train_profit_factor,train_max_drawdown,train_bootstrap_mean_5pct,train_positive_year_pct,val_trades,val_cagr,val_total_return,val_avg_trade,val_win_rate,val_profit_factor,val_max_drawdown,val_bootstrap_mean_5pct,val_positive_year_pct,test_trades,test_cagr,test_total_return,test_avg_trade,test_win_rate,test_profit_factor,test_max_drawdown,test_bootstrap_mean_5pct,test_positive_year_pct,stress_trades,stress_cagr,stress_total_return,stress_avg_trade,stress_win_rate,stress_profit_factor,stress_max_drawdown,stress_bootstrap_mean_5pct,stress_positive_year_pct,batch,basic_gate,strict_gate_pre_external,rank_score
funding_trend,BTCUSDT,both,6,12,0.015,0.5,0.012,0.018,e57540d6b30e,234,-0.3472876068077223,-0.47213040206079393,-0.002624777196326388,0.36324786324786323,0.6911862313219914,-0.46712180197492204,-0.0041100718901549834,0.0,177,-0.14398790779281756,-0.14389680710289243,-0.0007698010929897319,0.4293785310734463,0.8994013373358879,-0.2631166948409457,-0.002606946435719076,0.5,175,-0.1765004207268548,-0.18985421617659215,-0.0010997552079314928,0.41714285714285715,0.8549797062816775,-0.20878902992892845,-0.0028437876385761646,0.0,175,-0.3642784370865134,-0.3880665316141576,-0.002699755207931493,0.4114285714285714,0.6830154124743564,-0.3985509541355464,-0.004490006419099171,0.0,0,False,False,1.0411523100098985
funding_trend,SOLUSDT,long,18,12,0.006,0.35,0.0,0.018,53d36ea271ff,221,0.4715497562940638,0.7834481860338172,0.0031409179135912686,0.8235294117647058,1.3070116537617396,-0.33963878240282663,-0.000567519793284019,0.5,113,-0.16984056178826845,-0.16973478437339662,-0.0008756158198542388,0.7787610619469026,0.9342711934426133,-0.290987046323228,-0.006790598767762802,0.5,101,-0.3135846219476892,-0.33498805291063594,-0.003472146823732548,0.6831683168316832,0.7609344544624826,-0.4393901436259642,-0.009130039231137513,0.0,101,-0.4091156398955932,-0.43471749332692533,-0.005072146823732549,0.6831683168316832,0.6625488450513057,-0.5088732434394057,-0.010738040726067254,0.0,0,False,False,1.0395845261640997
funding_trend,BTCUSDT,both,12,6,0.003,1.5,0.018,0.06,ba56a6706c37,85,-0.20942198265840428,-0.29666603565858785,-0.003893686689235855,0.3058823529411765,0.6309422273632994,-0.3079918399797601,-0.007787733711479455,0.0,54,-0.07517815573380737,-0.07512868006316253,-0.001216042351283209,0.4074074074074074,0.8620569745818926,-0.10898929408301972,-0.005922261819502335,0.5,56,-0.09525824780667502,-0.102851180103255,-0.0017385990903016353,0.4107142857142857,0.8088008216282009,-0.2273652389251969,-0.005966496224637454,0.0,56,-0.16722445879301862,-0.17995572794578663,-0.0033385990903016358,0.39285714285714285,0.6675384374241743,-0.25799454420856227,-0.007652002383958417,0.0,0,False,False,1.0266681021220392
trend,SOLUSDT,both,30,12,0.02,1.0,0.025,0.0,7c2fe6ef4798,341,0.40316750806452784,0.660779044190672,0.0030423643075196023,0.30498533724340177,1.165079469803567,-0.4445221902774248,-0.0021834219118880907,0.5,223,-0.31986752230801596,-0.3196880453628753,-0.0008463684023513298,0.3094170403587444,0.9530139328724149,-0.456697412722729,-0.0055769101359241435,0.5,213,-0.3675284432451662,-0.39145757058136876,-0.0015533033798057854,0.3427230046948357,0.9080272257962089,-0.5260660043776937,-0.005847179599073461,0.0,213,-0.5386871459711973,-0.5677771545103665,-0.0031533033798057867,0.3286384976525822,0.8243298484554649,-0.6336944472840055,-0.007695384107795812,0.0,0,False,False,1.020086978167459
trend,BTCUSDT,short,18,9,0.05,0.5,0.035,0.045,ed85be57c8aa,32,-0.11962962695201518,-0.17371343636867753,-0.005574125870826097,0.3125,0.6037861247639429,-0.19945410580804013,-0.013539501206212924,0.5,41,-0.1829346833829263,-0.1828216814235144,-0.004299242928704137,0.43902439024390244,0.768743849241984,-0.2653617069278752,-0.013517885825167154,0.0,45,0.14785593596797453,0.16125938341592772,0.0037852937864363704,0.5111111111111111,1.3395143149788236,-0.17543704832797447,-0.003625328731778112,1.0,45,0.07425128606609599,0.08074852547410738,0.002185293786436372,0.5111111111111111,1.1831553783818174,-0.19194697355666734,-0.00513393475802083,0.5,0,False,False,1.0121550862952269
trend,BTCUSDT,long,18,6,0.003,0.5,0.025,0.045,4b1230f03a8c,291,0.059423786704648096,0.09029625725470458,0.0005828363800863285,0.45017182130584193,1.0613689604554426,-0.2773801995183717,-0.0017144502849983435,1.0,174,-0.1294674249125154,-0.12938480291120824,-0.0005716185253180376,0.47126436781609193,0.9334311079114717,-0.30767974386386354,-0.003184245986603747,0.5,112,-0.35466134351037093,-0.37802358261350333,-0.004083774963329298,0.38392857142857145,0.5539278607238841,-0.41808187437237865,-0.006742188728104793,0.0,112,-0.45344760388843997,-0.4805505175246999,-0.0056837749633293,0.32142857142857145,0.4427313720611901,-0.5070018645786568,-0.008285178542428752,0.0,0,False,False,1.007179360636185
funding_trend,BTCUSDT,short,30,6,0.003,0.5,0.018,0.03,19b914eafdb3,147,-0.1372469842048717,-0.19835272116862657,-0.0013420940612159837,0.3877551020408163,0.8389987411711145,-0.25979268611784556,-0.00379928274115963,0.0,120,-0.208649652274027,-0.2085228823518931,-0.0017279431006502922,0.4166666666666667,0.8394037385050716,-0.25468892326589154,-0.004797868852058571,0.0,158,0.0658936736645992,0.07163548385713958,0.0006399230800555436,0.4430379746835443,1.0737966101803356,-0.20192652077537532,-0.001974358155539755,0.5,158,-0.15590276530363956,-0.1678616400020111,-0.0009600769199444564,0.4240506329113924,0.899733220141016,-0.2926753128279218,-0.003572062853523933,0.0,0,False,False,1.003528064913142
funding_trend,BTCUSDT,long,30,2,0.03,0.5,0.025,0.0,726c2ffedf5c,186,-0.1694321688858802,-0.2427211830563416,-0.001382145043626559,0.42473118279569894,0.765810195801643,-0.24839521664644593,-0.00314966714776311,0.0,105,-0.06818628154908124,-0.0681412360196243,-0.0005627054378070208,0.4,0.8983165175696783,-0.13331413792832958,-0.0029203531246364805,0.0,59,-0.14657533198739836,-0.1578875919816265,-0.0028411957408335056,0.3559322033898305,0.5164570444003451,-0.1646947496934632,-0.005250855274987328,0.0,59,-0.21799779983845724,-0.23402027556340366,-0.004441195740833505,0.288135593220339,0.360385387621817,-0.23040978519231403,-0.007017790572878222,0.0,0,False,False,0.993337637895224
funding_trend,SOLUSDT,both,18,1,0.003,0.15,0.035,0.03,0f25af178fc0,908,-0.5081680539406843,-0.6544877889276014,-0.0009215909423002654,0.45594713656387664,0.902367261392672,-0.7375646718977342,-0.0021149012319522558,0.0,574,-0.34515357843024297,-0.34496378704354147,-0.0005360141717150012,0.4547038327526132,0.9352974006809304,-0.5648080413966995,-0.0019215560631616877,0.5,514,-0.3245278404696068,-0.3464748641105151,-0.0006722786857909139,0.41050583657587547,0.9045908154650725,-0.402648819866015,-0.0019522452296275288,0.0,514,-0.6840708824968024,-0.7132782307798157,-0.0022722786857909136,0.3754863813229572,0.7165957607363826,-0.7044232239232276,-0.003534454720634133,0.0,0,False,False,0.9888683153320771
regime_switch,BTCUSDT,long,30,12,0.006,1.0,0.035,0.045,566a27e23751,173,-0.052087216581299445,-0.07698613443957936,-4.7600688964713275e-05,0.4508670520231214,0.9960376279819629,-0.22505841328089027,-0.0036523640966606096,0.5,98,-0.2096735876258633,-0.2095462811955935,-0.0019309443021132437,0.47959183673469385,0.8674063514870212,-0.3107042705346005,-0.007061996790120015,0.0,103,-0.18877365725564732,-0.202936695320992,-0.0018209587021887992,0.49514563106796117,0.8555735857893176,-0.35636279440527796,-0.006302333701733255,0.0,103,-0.30352714951226445,-0.32441737517649616,-0.003420958702188797,0.44660194174757284,0.7457510968946115,-0.44227987198650387,-0.008021612570160706,0.0,0,False,False,0.9764629541214189
trend,BTCUSDT,long,48,2,0.03,0.35,0.025,0.03,5daab44d94ca,440,-0.2326888387194539,-0.3274372017383883,-0.0007765879198001558,0.41363636363636364,0.8768178535043601,-0.45353869225640386,-0.0020060907325650996,0.0,283,-0.18029197026853117,-0.1801804149090932,-0.0005959580232583434,0.43109540636042404,0.8969881539035783,-0.25988901288993804,-0.001980515131859096,0.0,175,-0.2500399421530539,-0.26798878584481756,-0.0017179703399817121,0.38285714285714284,0.6577374354887882,-0.3068454037599423,-0.0030455114236459884,0.0,175,-0.4211301703699919,-0.4471683889931235,-0.003317970339981713,0.32571428571428573,0.4527654624080145,-0.4644971542570956,-0.00470333459582436,0.0,0,False,False,0.9712765276415098
