candidate,family,cost_profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,funding_return_sum,basis_return_sum,annual_turnover,active_time_pct,months
fixed_BTC,fixed,taker,train,0.21498430922849887,0.10212256903444228,0.021766056440523318,4.47829879506091,-0.018433937297851255,0.008166318933034914,0.00608398648279318,0.031827914043908834,0.0009125166218211245,1.0,0.0,0.0,0.19812595000000005,-0.0009202140781240375,0.4993444678789261,0.9999429972068631,24
fixed_BTC,fixed,taker,test,0.06275522532675004,0.039252806574175736,0.010031206290781207,3.84324613787522,-0.004411795893239034,0.003211482435108288,0.0037642427355133457,0.00745845870169437,-0.0018203358437989259,0.8421052631578947,0.0,0.0,0.06250959,0.00043488073959829787,0.6325823223570191,1.0,19
fixed_BTC,fixed,taker,full,0.2912309233225838,0.07393216707124739,0.017585310349311826,4.0648416193484085,-0.018433937297851255,0.00597697257348594,0.004569509656187298,0.031827914043908834,-0.0018203358437989259,0.9302325581395349,0.0,0.0,0.26063554,-0.0004853333385257397,0.5581217546430506,0.9999681437354656,43
fixed_BTC,fixed,optimistic_limit,train,0.21571483173751838,0.10245341642943595,0.021741151587559654,4.497209387358189,-0.018433937297851144,0.00819151932775189,0.006196415709794345,0.031827914043908834,0.0009125166218211245,1.0,0.0,0.0,0.19812595000000005,-0.0009202140781240375,0.4993444678789261,0.9999429972068631,24
fixed_BTC,fixed,optimistic_limit,test,0.06339421012796786,0.039648034457855585,0.009963301982131034,3.907534299222517,-0.004411795893239034,0.003243246450586712,0.004004744615194511,0.00745845870169437,-0.0018203358437989259,0.8421052631578947,0.0,0.0,0.06250959,0.00043488073959829787,0.6325823223570191,1.0,19
fixed_BTC,fixed,optimistic_limit,full,0.2927841132363458,0.07429250354844097,0.017551023441896324,4.091862488109545,-0.018433937297851144,0.006005073172725416,0.004569509656187298,0.031827914043908834,-0.0018203358437989259,0.9302325581395349,0.0,0.0,0.26063554,-0.0004853333385257397,0.5581217546430506,0.9999681437354656,43
fixed_ETH,fixed,taker,train,0.2302590333984802,0.10901976354491971,0.026541655609916563,3.9118731283732453,-0.02505575636517965,0.008691985514712711,0.007012059126365822,0.032333169944833484,0.00154547343968936,1.0,0.0,0.0,0.21246426000000002,-0.0025364745896603313,0.4993444678789261,0.9999429972068631,24
fixed_ETH,fixed,taker,test,0.05382459731130784,0.03371982131255624,0.010852900718651668,3.061183853849112,-0.006710090538165292,0.0027668590661238507,0.0028137302782964557,0.008144495107843097,-0.0033324849355338415,0.8421052631578947,0.0,0.0,0.05489733,-0.0003781190243041799,0.6325823223570191,1.0,19
fixed_ETH,fixed,taker,full,0.29647723045974517,0.07514804660274033,0.021113482615428378,3.4423770171450965,-0.02505575636517965,0.006073906386266471,0.004577790237983548,0.032333169944833484,-0.0033324849355338415,0.9302325581395349,0.0,0.0,0.26736159000000004,-0.0029145936139645112,0.5581217546430506,0.9999681437354656,43
fixed_ETH,fixed,optimistic_limit,train,0.2309988794066664,0.10935274414876628,0.02651910313248102,3.926497646753381,-0.025055756365179982,0.008717232201155603,0.007012059126365822,0.032333169944833484,0.00154547343968936,1.0,0.0,0.0,0.21246426000000002,-0.0025364745896603313,0.4993444678789261,0.9999429972068631,24
