candidate,family,cost_profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,funding_return_sum,basis_return_sum,annual_turnover,active_time_pct,months,train_cagr,train_sharpe,train_score,passes_oos
fixed_ALL10,fixed,taker,test,0.03572189831199957,0.02245111459355842,0.011026143175010533,2.0191657556294307,-0.004623519312995872,0.0018518292155885448,0.0014746521486208586,0.006649755840832938,-0.002736351173705742,0.7894736842105263,0.0,0.0,0.03634111,0.0008536937888469689,0.6325823223570191,1.0,19,0.09095001141761228,4.479822943565818,9.989638691682778,True
slowrank_lb90_k10_d90_th0,slow_rank,taker,test,0.040085178276792144,0.02517377782996788,0.0177413400771339,1.4102404472034418,-0.006852376848244357,0.00207452074283544,0.0023061471362881836,0.007208318059263696,-0.0031639516026403802,0.7894736842105263,0.0,0.0,0.0511957039047619,0.001190678223964168,4.05957195125306,1.0,19,0.09503542728239789,7.584065693105199,16.088226694926252,True
fixed_ALL10,fixed,optimistic_limit,test,0.03634462717026343,0.022839951498774713,0.010964581783933896,2.0651184473119666,-0.004623519312995872,0.0018835176874895403,0.0015226027183858903,0.006649755840832938,-0.002736351173705742,0.7894736842105263,0.0,0.0,0.03634111,0.0008536937888469689,0.6325823223570191,1.0,19,0.09127753117615556,4.501925281233486,10.034007126897388,True
slowrank_lb90_k10_d90_th0,slow_rank,optimistic_limit,test,0.04410586744196188,0.027678953257149752,0.017461175085416256,1.5723625930564336,-0.005955328820308581,0.002277547744158074,0.0023061471362881836,0.007208318059263696,-0.002263572051258711,0.7894736842105263,0.0,0.0,0.0511957039047619,0.001190678223964168,4.05957195125306,1.0,19,0.09614888141171263,7.721680851519919,16.36401373882035,True
