candidate,family,split,cagr,sharpe,max_drawdown,avg_month,median_month,worst_month,best_month,positive_month_pct,month_ge_10_pct,months
inverse_vol_100-21-21,inverse_vol,train,0.11364223174050703,0.8375538170939799,-0.2143424471363109,0.009581579955253171,0.002083076358800784,-0.0852361985329888,0.09084881893655639,0.5277777777777778,0.0,108
inverse_vol_100-21-21,inverse_vol,test,0.2574814676682018,1.6677009623756667,-0.10942540701344894,0.019655746007043336,0.01891678588820256,-0.07310752760562766,0.12863549689391585,0.6363636363636364,0.022727272727272728,44
inverse_vol_100-21-21,inverse_vol,full,0.1527699096127466,1.0772798039961153,-0.21474232285300832,0.012497785917613483,0.008800110004530737,-0.0852361985329888,0.12863549689391585,0.5592105263157895,0.006578947368421052,152
inverse_vol_100-63-21,inverse_vol,train,0.10824780720178806,0.7991700963354259,-0.21132821565141313,0.009178333530205026,0.0029221638520099402,-0.08324399978931507,0.0959108482050306,0.5185185185185185,0.0,108
inverse_vol_100-63-21,inverse_vol,test,0.24723000709151588,1.6234125773254942,-0.10958489527289561,0.018934710295111547,0.021368991196165865,-0.07374347626720501,0.11189453489504109,0.6590909090909091,0.022727272727272728,44
inverse_vol_100-63-21,inverse_vol,full,0.14610049414141235,1.03483913817751,-0.22590687506457818,0.012002547856888493,0.00859672182675042,-0.08324399978931507,0.11189453489504109,0.5592105263157895,0.006578947368421052,152
inverse_vol_150-21-21,inverse_vol,train,0.115729745636584,0.8539859672152347,-0.20938361127799454,0.009737440937112344,0.002637053761983865,-0.07973501928151638,0.08875614171305002,0.5185185185185185,0.0,108
inverse_vol_150-21-21,inverse_vol,test,0.26347674787318787,1.7061879395602397,-0.12725147943785664,0.020010575504491597,0.017753855400331586,-0.0791545334544228,0.12512929785395088,0.6363636363636364,0.022727272727272728,44
inverse_vol_150-21-21,inverse_vol,full,0.15587788547020232,1.1002236564052617,-0.21073380009313103,0.01271124304872213,0.008511949911495065,-0.07973501928151638,0.12512929785395088,0.5526315789473685,0.006578947368421052,152
inverse_vol_150-63-21,inverse_vol,train,0.11095448955716658,0.8199850963497703,-0.20709795801312791,0.009387652623185729,0.0030506989369806226,-0.08219872653435079,0.09552768629031694,0.5277777777777778,0.0,108
inverse_vol_150-63-21,inverse_vol,test,0.25436499307253313,1.6682295689424274,-0.12664931461746343,0.019379340305295357,0.020042148195430043,-0.07889938852257505,0.11692030793680175,0.6590909090909091,0.022727272727272728,44
inverse_vol_150-63-21,inverse_vol,full,0.14996647360598492,1.062863819772307,-0.22184733521047573,0.012279983268006937,0.007252481961913193,-0.08219872653435079,0.11692030793680175,0.5657894736842105,0.006578947368421052,152
inverse_vol_200-21-21,inverse_vol,train,0.11457655975263625,0.8428403808843079,-0.21611456439740384,0.009639688669395099,0.0030472592946240162,-0.08581695781305809,0.0883421080957596,0.5277777777777778,0.0,108
inverse_vol_200-21-21,inverse_vol,test,0.28182744213417044,1.8365297839765518,-0.12349918644099434,0.02123316129063235,0.02109161134519888,-0.07457640372674856,0.14409418207507652,0.6818181818181818,0.022727272727272728,44
