name,signal,side,tp,sl,hold,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
breakout6_v1_L_tp0.030_sl0.018_h6,breakout6_v1,1,0.03,0.018,6,train,506,-0.1834835014474352,-0.00014737039847954644,0.4189723320158103,0.02568485105873069,0.028300000000000027,-0.01877468655129781,0.9864904541630233,-0.45124779876988064,0.3616600790513834,0.8679245283018868,-0.001811003832512632,0.5,506,-0.45552575715120636,-0.0009473703984795453,0.4150197628458498,0.02512634220785248,0.027500000000000028,-0.01944561245026916,0.9167168792736934,-0.5936242873665428,0.3616600790513834,0.8761904761904762,-0.0026110038325126315,0.0
breakout6_v1_L_tp0.030_sl0.018_h6,breakout6_v1,1,0.03,0.018,6,test,217,-0.16128068325507505,-0.0005810564578367851,0.423963133640553,0.023176112605195393,0.028300000000000027,-0.018066332888228464,0.9441660896516579,-0.42615307775101274,0.2995391705069124,0.75,-0.0028807911397308837,0.5,217,-0.2951210522106027,-0.0013810564578367833,0.423963133640553,0.02237611260519539,0.027500000000000028,-0.018866332888228463,0.8729210374369801,-0.45896513929339966,0.2995391705069124,0.75,-0.0036807911397308828,0.0
breakout6_v1_L_tp0.030_sl0.018_h12,breakout6_v1,1,0.03,0.018,12,train,468,-0.3195514233378628,-0.0005546545614948179,0.3995726495726496,0.027638524659666555,0.028300000000000027,-0.019316663509385122,0.9521777497706719,-0.5282646825536963,0.38675213675213677,0.9679144385026738,-0.002337399478103093,0.0,468,-0.5323154004110344,-0.0013546545614948166,0.3995726495726496,0.026838524659666553,0.027500000000000028,-0.020116663509385124,0.8878466771328165,-0.6470118467833206,0.38675213675213677,0.9679144385026738,-0.003137399478103092,0.0
breakout6_v1_L_tp0.030_sl0.018_h12,breakout6_v1,1,0.03,0.018,12,test,193,-0.15047689861074154,-0.0005963282536881754,0.41450777202072536,0.024964758799403457,0.028300000000000027,-0.018692673070036234,0.9455130069135321,-0.4160475124939891,0.35233160621761656,0.8625,-0.0031996957433903118,0.5,193,-0.2721867455662812,-0.001396328253688174,0.40932642487046633,0.024473970685058643,0.027500000000000028,-0.019323991553346055,0.8776671356959975,-0.4418868113147434,0.35233160621761656,0.8734177215189873,-0.00399969574339031,0.0
breakout6_v1_L_tp0.030_sl0.018_h24,breakout6_v1,1,0.03,0.018,24,train,460,-0.27844921160162317,-0.0004340852156783262,0.40217391304347827,0.028188630114348256,0.028300000000000027,-0.01968936643769621,0.9631219124672965,-0.4912314698267872,0.4,0.9945945945945946,-0.0022360056556049264,0.0,460,-0.5008567197518734,-0.0012340852156783246,0.40217391304347827,0.027388630114348257,0.027500000000000028,-0.02048936643769621,0.8992507648583613,-0.6239771535228198,0.4,0.9945945945945946,-0.0030360056556049254,0.0
breakout6_v1_L_tp0.030_sl0.018_h24,breakout6_v1,1,0.03,0.018,24,test,185,-0.2010100741120664,-0.000945567674603114,0.3945945945945946,0.027576523787020732,0.028300000000000027,-0.019535859430840085,0.9200508591736615,-0.4484556645087554,0.3783783783783784,0.958904109589041,-0.003695554342482987,0.5,185,-0.3111180190881304,-0.0017455676746031123,0.3945945945945946,0.026776523787020733,0.027500000000000028,-0.02033585943084009,0.8582157907791336,-0.47161814843498806,0.3783783783783784,0.958904109589041,-0.004495554342482986,0.0
breakout6_v1.5_L_tp0.022_sl0.012_h6,breakout6_v1.5,1,0.022,0.012,6,train,501,-0.40589561273997543,-0.000908053837240626,0.37924151696606784,0.01962384245440283,0.02030000000000002,-0.013451656073292899,0.8912540278838588,-0.5539012178202629,0.35728542914171657,0.9,-0.0020539564506445443,0.0,501,-0.6023289227767445,-0.001708053837240626,0.37924151696606784,0.01882384245440283,0.01950000000000002,-0.0142516560732929,0.8069305501887636,-0.6750319362794843,0.35728542914171657,0.021052631578947368,-0.0028539564506445433,0.0
breakout6_v1.5_L_tp0.022_sl0.012_h6,breakout6_v1.5,1,0.022,0.012,6,test,221,-0.15324351338274278,-0.0006242618802406477,0.3891402714932127,0.01911309885213603,0.02030000000000002,-0.013197691680125051,0.9225667758019153,-0.30344898765580997,0.35294117647058826,0.9069767441860465,-0.002483357726046862,0.5,221,-0.2906234002363388,-0.001424261880240647,0.3891402714932127,0.018313098852136032,0.01950000000000002,-0.013997691680125048,0.8334318613615073,-0.36219316270515256,0.35294117647058826,0.0,-0.0032833577260468617,0.0
breakout6_v1.5_L_tp0.022_sl0.012_h12,breakout6_v1.5,1,0.022,0.012,12,train,486,-0.38505788439892663,-0.000865619718862433,0.3786008230452675,0.0201366159963352,0.02030000000000002,-0.013661683863221256,0.8980347388056962,-0.5404995923679243,0.3724279835390947,0.9239130434782609,-0.002094739862050928,0.0,486,-0.5833981721133203,-0.0016656197188624328,0.3786008230452675,0.019336615996335196,0.01950000000000002,-0.014461683863221256,0.8146526775607887,-0.6614895045233129,0.3724279835390947,0.021739130434782608,-0.0028947398620509275,0.0
breakout6_v1.5_L_tp0.022_sl0.012_h12,breakout6_v1.5,1,0.022,0.012,12,test,216,-0.15877650201778848,-0.0006677758053565718,0.39351851851851855,0.01934047171815272,0.02030000000000002,-0.013650226488549626,0.919337202867864,-0.29687316422784404,0.37037037037037035,0.9411764705882353,-0.002501954206300171,0.5,216,-0.29243683035506585,-0.001467775805356571,0.39351851851851855,0.018540471718152724,0.01950000000000002,-0.014450226488549623,0.8325182362064042,-0.35471257168322823,0.37037037037037035,0.0,-0.0033019542063001703,0.0
breakout6_v1.5_L_tp0.022_sl0.012_h24,breakout6_v1.5,1,0.022,0.012,24,train,485,-0.40234262553998446,-0.0009257862268041251,0.3752577319587629,0.020315878736263754,0.02030000000000002,-0.013684806105610577,0.8917142828719546,-0.562575504600618,0.3752577319587629,0.9340659340659341,-0.002120509527835055,0.0,485,-0.5947931210642068,-0.0017257862268041247,0.3752577319587629,0.019515878736263755,0.01950000000000002,-0.014484806105610573,0.8092900191021832,-0.6775073446352755,0.3752577319587629,0.02197802197802198,-0.002920509527835055,0.0
breakout6_v1.5_L_tp0.022_sl0.012_h24,breakout6_v1.5,1,0.022,0.012,24,test,214,-0.14362773082973623,-0.0005890044684770357,0.38317757009345793,0.020309160121951237,0.02030000000000002,-0.013571197623137026,0.9296376627722891,-0.3000669988425918,0.38317757009345793,0.975609756097561,-0.0024941514310938668,0.5,214,-0.27853103180337124,-0.0013890044684770346,0.38317757009345793,0.019509160121951242,0.01950000000000002,-0.014371197623137022,0.8433066651948792,-0.3580673468306824,0.38317757009345793,0.0,-0.0032941514310938663,0.0
breakout6_v1.5_L_tp0.022_sl0.018_h6,breakout6_v1.5,1,0.022,0.018,6,train,481,-0.6539567017107721,-0.0020169126744038887,0.4407484407484408,0.019449812336965924,0.02030000000000002,-0.01893492643801132,0.8095345227505061,-0.7604414902100183,0.4095634095634096,0.8915094339622641,-0.003472526521811878,0.0,481,-0.7647409593352024,-0.0028169126744038873,0.4407484407484408,0.018649812336965926,0.01950000000000002,-0.01973492643801132,0.7447706183300614,-0.8223388894628081,0.4095634095634096,0.02830188679245283,-0.004272526521811877,0.0
breakout6_v1.5_L_tp0.022_sl0.018_h6,breakout6_v1.5,1,0.022,0.018,6,test,206,-0.38486052676378235,-0.0021776695676771814,0.42718446601941745,0.019134449446405667,0.02030000000000002,-0.01807145323919659,0.7896298499244705,-0.4328101036790106,0.3883495145631068,0.9090909090909091,-0.004314639423633295,0.0,206,-0.47857570262130245,-0.0029776695676771805,0.42718446601941745,0.018334449446405665,0.01950000000000002,-0.018871453239196596,0.724541378259773,-0.5173861873696155,0.3883495145631068,0.0,-0.005114639423633295,0.0
breakout6_v1.5_L_tp0.022_sl0.018_h12,breakout6_v1.5,1,0.022,0.018,12,train,459,-0.6701875597831094,-0.0022200769365458314,0.4357298474945534,0.02006392532230512,0.02030000000000002,-0.01942780068855429,0.7974849482777752,-0.7586417827785327,0.42701525054466233,0.92,-0.003689103934444975,0.0,459,-0.7718013142265494,-0.0030200769365458305,0.4357298474945534,0.019263925322305125,0.01950000000000002,-0.02022780068855429,0.735404616574023,-0.8192758448293544,0.42701525054466233,0.03,-0.004489103934444972,0.0
breakout6_v1.5_L_tp0.022_sl0.018_h12,breakout6_v1.5,1,0.022,0.018,12,test,197,-0.40938531985078175,-0.0024804798765866113,0.4365482233502538,0.01937063168205723,0.02030000000000002,-0.01941016991301337,0.7731965699408492,-0.4554232108742423,0.41116751269035534,0.9418604651162791,-0.004730879072034075,0.0,197,-0.49576184268834655,-0.00328047987658661,0.4365482233502538,0.018570631682057234,0.01950000000000002,-0.020210169913013377,0.7119216236587247,-0.5332931342147336,0.41116751269035534,0.0,-0.005530879072034072,0.0
