candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months,avg_gross_exposure,annual_turnover,train_score,train_cagr,train_sharpe,passes_oos
breakout_100-50,breakout,"[100, 50]",base,test,1.5816364371729277,0.30531805188269456,0.20005160089423946,1.4322139046639986,-0.1854404410189675,0.023887102354239634,0.005542121086361762,0.16879792878725852,-0.05880606315811987,0.5581395348837209,0.11627906976744186,0.0,43,0.6635987255252908,5.532030644336836,2.984217107517454,0.2804509484869713,1.4739183263242732,True
dual_ema_20-150,dual_ema,"[20, 150]",base,test,1.8097970541783788,0.33674679231775073,0.2087721071204619,1.495181519237254,-0.1834971699947876,0.026028427275401455,0.018039436965523903,0.17014166865277214,-0.07246824842136279,0.5581395348837209,0.13953488372093023,0.0,43,0.7767720683028408,7.74510339679588,2.799063375248797,0.2713178150275597,1.3767826596367012,True
inverse_vol_200-21-21,inverse_vol,"[200, 21, 21]",base,test,1.6928656234549369,0.32087885417202977,0.21223559198094702,1.418031789667966,-0.20541809873468775,0.02527554083372384,0.013545273801033098,0.16598924909305413,-0.08791762131892034,0.6046511627906976,0.13953488372093023,0.0,43,0.9116583376662677,5.806884049792522,2.5015257426893656,0.24931967860409832,1.2327631989440573,True
pullback_200-40-60,pullback,"[200, 40, 60]",base,test,0.4785628307989722,0.11612847189628583,0.11002992894930219,1.0534893783355959,-0.09060481571014667,0.009366285643538723,0.007768962178440031,0.08186582534351627,-0.04258254038549758,0.5581395348837209,0.0,0.0,43,0.2443870936865484,7.15619396932913,1.6072018722718806,0.07005080605971492,0.7801491683163647,True
single_rotation_126-21-200,single_rotation,"[126, 21, 200]",base,test,2.1227123055993316,0.376994037642973,0.23766683115228462,1.464364000297109,-0.22237131183484493,0.029827998417950197,0.003116835059093992,0.23182195739585354,-0.12982317921988884,0.5116279069767442,0.20930232558139536,0.023255813953488372,43,0.4688780465444432,6.54500462759756,2.7914792295565913,0.3638190762129623,1.3574838696671934,False
sma_long_200,sma_long,[200],base,test,1.6838826991081888,0.3196394992547402,0.20955962223460192,1.4287652883032425,-0.18006902329805452,0.024886978996568634,0.020835498977135103,0.18827037374836086,-0.07295656766926495,0.6046511627906976,0.09302325581395349,0.0,43,0.7816600883482329,11.232436676033657,2.799518166051951,0.27392582032435375,1.3789038784712724,True
top_momentum_63-5-21-200,top_momentum,"[63, 5, 21, 200]",base,test,2.3438645454833913,0.4037202486559919,0.23103811754951023,1.5830282256322008,-0.20025359539304777,0.03137826356144,0.020575991887476164,0.2665857198920789,-0.10648575318512488,0.5581395348837209,0.18604651162790697,0.023255813953488372,43,0.6321536291561775,8.553369158437176,3.1767921750593935,0.3543058265206924,1.5940804655283565,True
breakout_100-50,breakout,"[100, 50]",balanced,test,2.52397567787617,0.42456242261898436,0.3038318712383319,1.316750528736165,-0.27331663256628,0.0333854842165618,0.006667891147694505,0.28828681051093663,-0.10135213686284983,0.5581395348837209,0.27906976744186046,0.023255813953488372,43,1.0102532777281001,6.992164091803952,2.9394393171674995,0.4299907269342782,1.4585750660234833,True
dual_ema_20-150,dual_ema,"[20, 150]",balanced,test,3.689280124772792,0.5436121567781524,0.3447261737690981,1.4325746817893732,-0.304861158898617,0.04116926127185244,0.03029029024879626,0.3038607211165667,-0.12195911559363815,0.5581395348837209,0.3488372093023256,0.046511627906976744,43,1.2816249112679041,11.58162347403777,2.8344113701921456,0.4592936007883497,1.4136628538675244,True
inverse_vol_200-21-21,inverse_vol,"[200, 21, 21]",balanced,test,3.9972187672465687,0.5714416838983782,0.35978020876364003,1.4372493562612778,-0.33298320655970104,0.0437872197804546,0.02146345392545257,0.30538005298823934,-0.13180170413785097,0.6046511627906976,0.3023255813953488,0.13953488372093023,43,1.549375347771146,8.749159800714864,2.4558964497234568,0.4123206119204106,1.2443899724050995,True
pullback_100-40-60,pullback,"[100, 40, 60]",balanced,test,0.33669290849283295,0.0849429029527402,0.07585176798586607,1.112732687396581,-0.07086016523327487,0.0069733464129191685,0.0,0.05739877099700341,-0.03971070307107161,0.4883720930232558,0.0,0.0,43,0.12513935340022297,7.7959866220735785,1.5896436057350227,0.05341658154787776,0.8084999024269073,False
single_rotation_126-21-200,single_rotation,"[126, 21, 200]",balanced,test,5.840639375016876,0.7163628475049943,0.4095329077219709,1.521342380185875,-0.3612291478409021,0.0546452742161563,0.0036807999582844086,0.4331826756247592,-0.17326005168842096,0.5116279069767442,0.3488372093023256,0.09302325581395349,43,0.8116111205088762,10.85858441380338,2.8160043468586453,0.6560102772408223,1.3532108140345809,False
sma_long_200,sma_long,[200],balanced,test,3.4658365854581596,0.52258447177956,0.3464945208149718,1.3872896743128489,-0.2996203620136424,0.039995107813962594,0.03083140184519939,0.31383096832320523,-0.12569425512925136,0.5813953488372093,0.3023255813953488,0.046511627906976744,43,1.2956887043223275,17.035536797901646,2.8156374779010327,0.45845332181412113,1.4022493348259306,True
top_momentum_63-5-21-200,top_momentum,"[63, 5, 21, 200]",balanced,test,6.39360541748781,0.754257734876882,0.39346678256319473,1.6230467209239572,-0.3293295923880011,0.056200292810444086,0.03350924555192747,0.47999701658645777,-0.18043990872369187,0.5581395348837209,0.32558139534883723,0.06976744186046512,43,1.0854228953922174,13.849272905286394,3.1861185899038147,0.6404836505414206,1.6013376496403835,True
breakout_100-50,breakout,"[100, 50]",aggressive,test,4.851759636827567,0.6427018387558223,0.46286516189346943,1.3036992388325217,-0.392452230094558,0.0504811083769416,0.009967592061039587,0.4533773944996238,-0.15602488457279728,0.5581395348837209,0.37209302325581395,0.06976744186046512,43,1.542037258718059,10.415667476259244,2.920638049327353,0.6629128277666401,1.4461126339530903,False
dual_ema_50-100,dual_ema,"[50, 100]",aggressive,test,5.940665311392628,0.7233768026776346,0.5231378340090177,1.3030262544517324,-0.4366900780809969,0.058937845697310955,0.03811225032938381,0.4897531573787133,-0.232299138253372,0.5813953488372093,0.4186046511627907,0.18604651162790697,43,1.8896623166483029,25.295226239422153,2.4582719562744195,0.5708682776175538,1.2309901323481693,False
inverse_vol_100-21-5,inverse_vol,"[100, 21, 5]",aggressive,test,9.516864680465206,0.9368014894966548,0.5353754769920465,1.5031591630653676,-0.416781571173922,0.0671177259175713,0.04244068642272891,0.48453293824919785,-0.23553763921339477,0.627906976744186,0.37209302325581395,0.09302325581395349,43,2.251857113221883,21.53199359167919,-1000000000.0,0.4891845806821937,1.0597586631108666,False
pullback_100-40-60,pullback,"[100, 40, 60]",aggressive,test,0.5336768594114283,0.12766321448210172,0.1137776519787991,1.1127326873965808,-0.1053212329921307,0.010448941708724204,0.0,0.08679329550242221,-0.05936478301144521,0.46511627906976744,0.0,0.0,43,0.18770903010033446,11.693979933110366,1.5603555698226657,0.07934550748381874,0.8084999024269071,False
single_rotation_126-5-200,single_rotation,"[126, 5, 200]",aggressive,test,9.804681820136661,0.9515482173250531,0.6584180294721266,1.3345714870286578,-0.5081900717275544,0.0737111647444524,0.05698247047673788,0.6924646099577467,-0.2593570597485364,0.6046511627906976,0.37209302325581395,0.18604651162790697,43,1.2073599228784029,27.333747103753616,2.8154994414133805,0.9973664045834765,1.3140735034256783,False
sma_long_200,sma_long,[200],aggressive,test,7.15689047730158,0.8033519689682629,0.5355220515325951,1.3699716416579615,-0.4382285769232701,0.0610361907328389,0.04465210216822135,0.49384436792849384,-0.19330308968575527,0.5813953488372093,0.3953488372093023,0.13953488372093023,43,2.0031912314657685,25.756847412727,2.7982023215695118,0.7114038630615069,1.3962430498493983,False
top_momentum_126-1-5-200,top_momentum,"[126, 1, 5, 200]",aggressive,test,8.251271394972237,0.8682767192329435,0.6593880200346169,1.2678658397051141,-0.5396016945375499,0.06952434428130604,0.05395182826761946,0.6924646099577416,-0.26826057139779014,0.627906976744186,0.3488372093023256,0.18604651162790697,43,1.2099618883333454,30.500170178541456,2.8024779562826576,0.9691288638570976,1.298345632275244,False
