candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months,avg_gross_exposure,annual_turnover
sma_long_50,sma_long,[50],base,train,4.268190028075934,0.2311111356439557,0.19778450650224608,1.1506168034724633,-0.30255097791430585,0.019578359760380762,0.005029608651556328,0.16548096066855078,-0.12162545805010438,0.5104166666666666,0.125,0.03125,96,0.7105325624694802,28.23506498643964
sma_long_50,sma_long,[50],base,test,1.8890089984860143,0.34722818811287226,0.20862368121330724,1.5332071475274451,-0.21211269612298078,0.027086720742949252,0.015977896385064305,0.17798751526082102,-0.10302223677696332,0.5581395348837209,0.13953488372093023,0.023255813953488372,43,0.6805481133051327,23.729183138938424
sma_long_50,sma_long,[50],base,full,14.219848396845647,0.26578259994603015,0.20116866599579447,1.2726251037081178,-0.30255097791430585,0.021901090136283243,0.008533226853344678,0.17798751526082102,-0.12162545805010438,0.5251798561151079,0.12949640287769784,0.02877697841726619,139,0.7012931083642173,26.84661565040096
sma_long_50,sma_long,[50],balanced,train,8.669182734284867,0.3282995896626788,0.2900250730046764,1.124861832750809,-0.455121574485151,0.02844155817755245,0.007096887565180676,0.26368947649818675,-0.1626031500357602,0.5104166666666666,0.25,0.10416666666666667,96,1.0317168907267964,39.66876640514225
sma_long_50,sma_long,[50],balanced,test,3.432559385899734,0.5193885189573626,0.3246140383718387,1.4507650478306084,-0.2982450446155984,0.04025063338022932,0.02758037903485877,0.30829599578015965,-0.16610035752495533,0.5581395348837209,0.32558139534883723,0.046511627906976744,43,1.0648386625248172,36.42228612678564
sma_long_50,sma_long,[50],balanced,full,41.85922668283398,0.3844686407523825,0.301080236581058,1.231653041729876,-0.455121574485151,0.03209472532658198,0.013932136361914926,0.30829599578015965,-0.16610035752495533,0.5251798561151079,0.2733812949640288,0.08633093525179857,139,1.0419230842351526,38.66839099817356
sma_long_50,sma_long,[50],aggressive,train,22.276510389217655,0.4826355557850628,0.43953594612136565,1.1178051040360057,-0.6235708088820813,0.04377691785365192,0.00927665624755536,0.43746615208190676,-0.23762313053769768,0.5104166666666666,0.3229166666666667,0.15625,96,1.5559507658634908,59.75035476647142
sma_long_50,sma_long,[50],aggressive,test,7.117749699750222,0.8009167160015038,0.49521189008641303,1.4344490069257851,-0.4222464027493591,0.06155013871241962,0.04252298083365735,0.5047968532561382,-0.245414211310378,0.5348837209302325,0.3953488372093023,0.13953488372093023,43,1.6237027171476712,55.46206400686981
sma_long_50,sma_long,[50],aggressive,full,187.9528852233047,0.5741996222577348,0.45737324944997493,1.2217834238806007,-0.6235708088820813,0.0492751084790261,0.019764386801971012,0.5047968532561382,-0.245414211310378,0.5179856115107914,0.34532374100719426,0.1510791366906475,139,1.5768279559362868,58.42895428163368
sma_long_100,sma_long,[100],base,train,4.756052615783358,0.2448297230377039,0.19258859646471774,1.2342162645090229,-0.22511528138782066,0.02018255516980832,0.003882813230345228,0.16486907153841845,-0.14280779461034887,0.5,0.10416666666666667,0.03125,96,0.7046150440598791,18.965711736455017
