cost_profile,candidates,positive_cagr,sharpe_ge_1,drawdown_better_20,median_cagr,median_sharpe
optimistic_limit,240,0,0,131,-0.07872970222752174,-6.310715540052373
taker,240,0,0,122,-0.12338537832179436,-8.13801897986081
