candidate,family,lookback_events,top_k,threshold_bps,rebalance_events,keep_bps,cost_profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,funding_return_sum,basis_return_sum,annual_turnover,active_time_pct,months
ranked_carry_lb1_k1_th0_reb1_keep0,ranked_carry,1,1,0.0,1,0.0,taker,train,-0.9730623480012822,-0.8354837435427642,0.09256970147474243,-19.44768488422988,-0.973069101427383,-0.13836569091368714,-0.13576896246227915,-0.03545790389820114,-0.24211305685659046,0.0,0.0,0.75,0.27436907,0.070371434976369,986.205324060879,0.9994869748617682,24
ranked_carry_lb1_k1_th0_reb1_keep0,ranked_carry,1,1,0.0,1,0.0,taker,test,-0.9805891228414744,-0.9173871447768271,0.10305380850799649,-24.141882873201325,-0.9806230179328511,-0.18632917664690785,-0.18996811586792317,-0.09667129249715378,-0.24735259927065234,0.0,0.0,0.9473684210526315,0.08873305000000001,0.05431959009380194,1289.2027729636047,0.997689196995956,19
ranked_carry_lb1_k1_th0_reb1_keep0,ranked_carry,1,1,0.0,1,0.0,taker,full,-0.9994771165461138,-0.8785953860865524,0.09740077243336948,-21.59755580795738,-0.9994774817116033,-0.15955885902836606,-0.16839767902542213,-0.03545790389820114,-0.24735259927065234,0.0,0.0,0.8372093023255814,0.36310212000000003,0.12469102507017094,1119.8713006912808,0.9986938931540887,43
ranked_carry_lb1_k1_th0_reb1_keep0,ranked_carry,1,1,0.0,1,0.0,optimistic_limit,train,-0.9115394241990619,-0.702103555132612,0.06898851100474909,-17.5180355695501,-0.9115616017801492,-0.09540121294862337,-0.0938510280062963,-0.02024371672970582,-0.17546685475200752,0.0,0.0,0.375,0.27436907,0.070371434976369,986.205324060879,0.9994869748617682,24
ranked_carry_lb1_k1_th0_reb1_keep0,ranked_carry,1,1,0.0,1,0.0,optimistic_limit,test,-0.9337925048369781,-0.8204742658508177,0.07580141994137476,-22.616875939594888,-0.9339081157431751,-0.13260174792740498,-0.13658487822675225,-0.06569836722356415,-0.17918892053444468,0.0,0.0,0.8421052631578947,0.08873305000000001,0.05431959009380194,1289.2027729636047,0.997689196995956,19
ranked_carry_lb1_k1_th0_reb1_keep0,ranked_carry,1,1,0.0,1,0.0,optimistic_limit,full,-0.9941432468555412,-0.7617459008209919,0.07212219479614998,-19.850974335982244,-0.9941473370291991,-0.11183865863692222,-0.11891724925347258,-0.02024371672970582,-0.17918892053444468,0.0,0.0,0.5813953488372093,0.36310212000000003,0.12469102507017094,1119.8713006912808,0.9986938931540887,43
ranked_carry_lb1_k1_th0_reb3_keep0,ranked_carry,1,1,0.0,3,0.0,taker,train,-0.7215585226371999,-0.47188201275361263,0.06524574380010796,-9.752059504001,-0.7217420733815583,-0.05171145511166043,-0.04973921173831791,-0.003206868000291907,-0.08171419725964801,0.0,0.0,0.0,0.26355317,0.028215478996561405,390.9867183491991,0.9985749301715784,24
ranked_carry_lb1_k1_th0_reb3_keep0,ranked_carry,1,1,0.0,3,0.0,taker,test,-0.774507501317386,-0.6102350331408866,0.0699852681369933,-13.42720795737894,-0.7752490380673245,-0.07523108257709263,-0.07571622629124874,-0.033965129258789584,-0.10183088901481441,0.0,0.0,0.05263157894736842,0.07770102000000001,0.016789954507535954,499.74003466204505,0.9965337954939342,19
ranked_carry_lb1_k1_th0_reb3_keep0,ranked_carry,1,1,0.0,3,0.0,taker,full,-0.9372135355325829,-0.5381175729433555,0.06739580808713772,-11.427054478653266,-0.9372762416517767,-0.06210384864289792,-0.06575263078302596,-0.003206868000291907,-0.10183088901481441,0.0,0.0,0.023255813953488372,0.34125419,0.04500543350409736,438.96276002675927,0.9976744926889873,43
ranked_carry_lb1_k1_th0_reb3_keep0,ranked_carry,1,1,0.0,3,0.0,optimistic_limit,train,-0.5538758850748291,-0.3317212636519512,0.051990068183781955,-7.726251550430594,-0.5541699734920658,-0.03298978315457766,-0.03232281018211203,0.0016052805901851652,-0.055930396275884364,0.041666666666666664,0.0,0.0,0.26355317,0.028215478996561405,390.9867183491991,0.9985749301715784,24
ranked_carry_lb1_k1_th0_reb3_keep0,ranked_carry,1,1,0.0,3,0.0,optimistic_limit,test,-0.6371831302702727,-0.47341791652590837,0.054040046509532744,-11.840528825567079,-0.6383762610572126,-0.051871555774647825,-0.05204673565418205,-0.02108534579411181,-0.07215140150865273,0.0,0.0,0.0,0.07770102000000001,0.016789954507535954,499.74003466204505,0.9965337954939342,19
ranked_carry_lb1_k1_th0_reb3_keep0,ranked_carry,1,1,0.0,3,0.0,optimistic_limit,full,-0.8381386451119048,-0.398406964930866,0.05291843631299439,-9.5762072717196,-0.8383002993394296,-0.04133289198670169,-0.04224486710516706,0.0016052805901851652,-0.07215140150865273,0.023255813953488372,0.0,0.0,0.34125419,0.04500543350409736,438.96276002675927,0.9976744926889873,43
ranked_carry_lb1_k1_th0_reb6_keep0,ranked_carry,1,1,0.0,6,0.0,taker,train,-0.4297884475550595,-0.24459834471042363,0.05305970516001037,-5.2599605447458435,-0.42994518551058325,-0.023052689385738876,-0.02346119182039208,0.010132414830695158,-0.05700029823536368,0.041666666666666664,0.0,0.0,0.24665657000000002,0.02842674300233361,208.22664310551218,0.9972068631362937,24
ranked_carry_lb1_k1_th0_reb6_keep0,ranked_carry,1,1,0.0,6,0.0,taker,test,-0.5111325983817865,-0.36410154347721413,0.05518000523128478,-8.176506729155253,-0.5121483006818617,-0.036906169975416785,-0.03840486201194082,-0.015170849207766235,-0.05141079922986014,0.0,0.0,0.0,0.07298598,0.017779286523234128,254.29809358752166,0.9965337954939342,19
ranked_carry_lb1_k1_th0_reb6_keep0,ranked_carry,1,1,0.0,6,0.0,taker,full,-0.721242159983553,-0.2998604917215676,0.05401217645044047,-6.572734424230456,-0.7215205611085496,-0.029173994762573298,-0.02866811891239951,0.010132414830695158,-0.05700029823536368,0.023255813953488372,0.0,0.0,0.31964255,0.04620602952556774,228.5508585263292,0.9969099423401612,43
ranked_carry_lb1_k1_th0_reb6_keep0,ranked_carry,1,1,0.0,6,0.0,optimistic_limit,train,-0.2670789913257634,-0.14371754670325632,0.044663882478363635,-3.451468193990344,-0.269000866110086,-0.012812234103026501,-0.013430706173769902,0.0113480125250629,-0.03981716735136942,0.08333333333333333,0.0,0.0,0.24665657000000002,0.02842674300233361,208.22664310551218,0.9972068631362937,24
ranked_carry_lb1_k1_th0_reb6_keep0,ranked_carry,1,1,0.0,6,0.0,optimistic_limit,test,-0.37726886596262077,-0.25889766312818896,0.04493864983164011,-6.64463282841382,-0.37856269214754645,-0.024587997485490686,-0.025583016674855297,-0.008030084669325754,-0.03551926320493093,0.0,0.0,0.0,0.07298598,0.017779286523234128,254.29809358752166,0.9965337954939342,19
ranked_carry_lb1_k1_th0_reb6_keep0,ranked_carry,1,1,0.0,6,0.0,optimistic_limit,full,-0.5435872691084729,-0.19658474296794182,0.04479114374374432,-4.864291423637772,-0.5451136760508455,-0.018015478388301375,-0.017767155470659768,0.0113480125250629,-0.03981716735136942,0.046511627906976744,0.0,0.0,0.31964255,0.04620602952556774,228.5508585263292,0.9969099423401612,43
ranked_carry_lb1_k1_th0.5_reb1_keep0.25,ranked_carry,1,1,0.5,1,0.25,taker,train,-0.969543583813815,-0.8250824456654948,0.09079287861607391,-19.154991094765126,-0.9695512194145726,-0.13404362716106957,-0.13300573549374262,-0.03545790389820114,-0.22543981367408417,0.0,0.0,0.75,0.27375592,0.06940429057297914,955.2459670523856,0.9858063045089209,24
ranked_carry_lb1_k1_th0.5_reb1_keep0.25,ranked_carry,1,1,0.5,1,0.25,taker,test,-0.96304755186003,-0.8758586627654519,0.09265652080985345,-22.46775642814325,-0.9631120778778947,-0.15865779900562202,-0.1533132328398199,-0.0911287933430941,-0.2216925791974781,0.0,0.0,0.8947368421052632,0.08702267000000001,0.05404733170635678,1085.5112651646448,0.8879260543038706,19
